1219	0.02	7.27	0.11	9.55	1.72	8.72	75.85	16.73	0.31	3.88	5.34	0.88	0.99	4.73	4.58	0.53	2.84	16.27	2.74	0.01	0.52	0.15	1.03	1.36	4.32	16.99	3.00	0.13	2.58	1.37	0.17	0.17	1.43	1.33	0.25	1.40	3.08	2.26	7151	-34.87	0.2277	0.1185
1232	0.18	8.35	0.02	10.49	1.39	19.22	73.42	68.44	0.12	3.28	6.34	1.02	1.48	6.81	6.69	1.09	5.07	68.06	1.60	0.09	0.77	0.03	2.33	0.63	21.37	24.05	82.57	0.12	1.28	3.01	0.22	0.59	1.40	1.37	0.51	3.47	82.46	1.07	7259	-34.69	0.2336	0.1203
1242	0.07	10.37	0.00	10.46	1.95	10.92	81.24	31.58	0.09	4.49	8.14	1.08	2.18	13.12	12.95	1.65	2.63	31.02	0.95	0.02	1.07	0.00	2.82	1.21	2.09	14.29	8.93	0.11	1.33	9.45	0.20	0.54	5.02	5.02	0.61	0.82	9.07	1.97	7339	-34.12	0.2535	0.1295
1254	0.08	7.93	0.07	10.68	2.79	9.57	66.83	31.98	0.13	4.74	5.24	1.20	1.91	11.13	10.95	1.35	2.30	31.40	2.18	0.04	0.84	0.06	1.14	1.70	3.41	4.71	12.12	0.22	2.57	3.04	0.33	0.74	4.69	4.66	0.72	0.77	12.17	2.54	7439	-34.25	0.2488	0.1259
1266	0.15	8.90	0.00	8.20	2.21	12.85	80.27	63.42	0.01	6.39	5.49	1.62	2.74	15.46	15.21	1.98	2.01	62.63	2.38	0.10	0.83	0.00	1.97	1.03	7.77	10.95	33.81	0.02	3.82	2.63	0.52	1.00	7.54	7.55	0.94	0.12	33.79	4.36	7537	-34.24	0.2492	0.1249
1277	0.08	10.85	0.05	7.71	2.25	13.86	87.70	95.02	0.39	5.68	10.19	1.52	1.92	9.51	9.29	1.24	2.88	94.36	3.36	0.06	1.19	0.10	1.81	1.05	1.89	15.17	105.66	0.23	1.98	7.66	0.73	0.55	3.56	3.55	0.64	1.49	105.84	2.08	7636	-35.01	0.2232	0.1109
1287	0.05	9.02	0.36	9.43	3.20	10.42	72.36	25.00	0.33	4.83	7.61	1.66	1.97	11.15	10.96	1.40	2.38	24.40	2.06	0.02	0.90	0.51	1.22	1.89	1.72	18.87	8.77	0.20	1.87	5.46	0.50	0.70	3.66	3.64	0.74	0.65	8.91	1.94	7719	-33.87	0.2627	0.1295
1297	0.13	12.98	0.00	8.48	2.31	13.62	85.32	39.24	0.00	7.01	5.15	1.53	2.14	10.90	10.63	1.31	2.00	38.38	4.49	0.04	2.70	0.00	0.74	0.90	4.45	8.95	12.14	0.00	2.55	0.90	0.17	0.57	3.68	3.63	0.40	0.22	12.29	2.24	7803	-33.81	0.2649	0.1295
1310	0.04	6.12	0.78	10.00	1.20	10.46	59.86	24.14	2.60	2.96	3.68	0.66	1.22	4.36	4.25	0.87	3.80	23.78	1.82	0.01	1.10	1.24	2.51	0.59	3.19	15.54	7.77	2.07	1.11	0.97	0.23	0.63	1.90	1.89	0.58	0.93	7.68	1.15	7916	-34.83	0.2290	0.1108
1332	0.04	8.05	1.14	8.90	3.20	17.06	75.13	26.66	3.90	7.56	8.54	1.09	2.36	11.06	10.78	1.46	2.44	25.76	5.17	0.03	0.62	2.49	4.82	1.61	3.16	12.08	6.49	2.05	2.81	7.35	0.29	0.24	3.41	3.46	0.42	0.55	6.70	3.26	8123	-36.62	0.1773	0.0842
1343	0.08	6.57	0.15	11.60	1.46	14.92	83.83	37.52	0.27	5.13	7.80	0.85	1.57	5.57	5.37	0.96	3.03	36.92	3.96	0.02	1.88	0.23	2.06	1.02	6.63	18.07	14.44	0.60	2.39	4.73	0.39	0.43	2.06	2.07	0.45	0.68	14.24	2.48	8236	-35.27	0.2151	0.1012
1355	0.08	6.22	0.16	7.36	2.29	14.59	75.74	235.35	0.63	5.49	5.14	1.23	2.05	7.16	6.95	1.39	3.56	234.68	3.81	0.20	1.25	0.42	3.01	1.08	7.12	13.21	395.88	1.08	4.75	3.31	0.50	1.90	7.10	7.04	1.56	1.47	395.55	4.42	8356	-34.85	0.2284	0.1063
1376	0.11	5.95	0.25	10.78	2.52	14.00	89.67	43.68	1.37	4.72	9.28	0.85	1.63	6.22	6.04	1.07	3.00	43.12	3.42	0.06	0.86	0.21	2.79	1.76	1.92	10.11	11.19	1.51	0.69	5.53	0.17	0.37	2.68	2.67	0.36	0.40	11.24	0.80	8546	-34.49	0.2404	0.1099
1383	0.06	5.74	0.91	8.46	2.31	13.96	77.13	36.60	5.68	5.85	4.63	1.29	2.48	11.68	11.45	1.78	3.32	35.89	3.39	0.08	0.41	1.01	2.13	2.66	4.68	29.20	16.75	5.48	4.86	3.03	0.56	1.52	12.06	11.89	1.07	1.63	16.79	2.82	8622	-34.47	0.2411	0.1095
1387	0.25	6.65	0.28	10.50	3.20	20.17	94.30	46.88	0.55	6.13	14.13	1.83	2.40	9.10	8.86	1.67	3.29	46.15	4.09	0.18	0.80	0.29	4.36	2.50	2.23	8.38	18.35	0.95	0.56	6.42	0.83	0.47	3.91	3.91	0.45	0.12	18.32	1.12	8654	-34.65	0.2350	0.1064
1398	0.25	7.55	0.15	12.12	2.47	20.23	68.50	57.08	0.17	7.95	8.52	1.15	2.45	8.22	7.91	1.51	2.71	56.10	5.97	0.26	1.83	0.19	9.45	1.83	10.15	12.26	27.44	0.29	5.33	9.99	0.45	0.66	4.89	4.91	0.40	0.37	27.72	5.62	8761	-35.48	0.2087	0.0936
1403	0.10	7.87	4.11	53.17	2.49	13.83	83.32	28.13	2.32	4.54	25.72	0.88	1.61	8.20	8.03	1.07	4.17	27.58	2.48	0.13	1.28	6.04	94.74	1.80	6.04	25.80	11.27	2.74	2.73	39.17	0.51	0.88	6.26	6.23	0.70	3.19	11.26	2.70	8812	-34.27	0.2481	0.1107
1409	0.03	5.67	0.52	10.00	2.70	12.85	75.00	27.22	2.27	4.88	5.98	1.02	1.43	5.93	5.75	0.85	2.76	26.63	3.27	0.02	1.02	0.60	3.79	1.02	4.54	13.83	10.35	2.24	2.03	3.09	0.69	0.56	3.12	3.10	0.40	0.47	10.17	2.06	8862	-34.73	0.2323	0.1031
1415	0.19	7.89	0.32	10.44	2.38	10.30	83.72	62.48	0.62	3.57	11.07	1.00	1.70	11.63	11.50	1.27	3.03	62.05	0.82	0.06	1.56	0.51	6.32	1.71	2.86	7.03	46.48	1.00	1.38	7.00	0.36	0.69	4.54	4.50	0.56	0.38	46.36	0.98	8926	-34.78	0.2307	0.1018
1420	0.06	6.70	0.53	33.55	2.13	14.62	81.83	34.10	6.20	4.02	16.97	0.95	1.75	8.52	8.37	1.27	3.84	33.60	2.12	0.03	1.00	0.73	38.50	1.09	5.69	8.17	3.49	4.77	2.02	14.41	0.95	0.45	3.12	3.10	0.31	0.58	3.48	1.89	8970	-34.49	0.2404	0.1057
1431	0.05	4.88	0.05	8.33	1.58	13.83	74.50	25.15	1.20	4.32	4.92	1.13	1.82	9.20	9.04	1.30	5.08	24.62	2.29	0.04	1.20	0.08	1.38	1.24	3.13	16.28	5.10	2.68	2.46	1.76	0.61	1.06	9.28	9.20	0.80	4.08	4.97	1.28	9074	-34.36	0.2449	0.1066
1442	0.08	3.98	0.02	7.73	0.88	13.62	71.00	23.72	0.17	4.77	3.53	0.83	1.42	5.37	5.18	0.85	2.86	23.15	3.55	0.05	0.75	0.04	1.43	0.90	4.41	8.85	8.06	0.29	1.57	1.87	0.34	0.48	2.59	2.55	0.33	0.18	7.89	1.24	9187	-35.39	0.2114	0.0911
1453	0.04	5.17	0.03	9.07	0.97	14.78	85.00	33.30	0.57	4.15	4.80	0.83	1.43	6.02	5.86	0.94	3.84	32.78	2.72	0.01	0.64	0.07	1.80	0.32	4.02	14.79	7.17	1.18	1.61	2.10	0.41	0.54	2.83	2.79	0.43	0.76	7.09	1.35	9295	-34.30	0.2470	0.1053
1464	0.21	5.92	0.13	10.77	2.30	12.15	76.33	76.70	0.37	4.33	6.95	0.78	2.15	7.68	7.52	1.63	2.85	76.20	2.60	0.24	0.70	0.22	2.40	0.85	0.99	14.59	32.33	0.82	0.72	2.68	0.23	1.55	5.89	5.88	1.51	0.29	32.29	1.19	9404	-36.23	0.1875	0.0791
1466	7.21	5.24	0.10	8.79	1.70	29.72	87.51	190.70	0.00	13.30	9.05	2.36	7.09	44.50	43.99	5.51	4.66	189.09	3.11	21.60	1.13	0.26	11.14	1.81	31.76	25.14	254.53	0.00	24.83	7.53	2.58	13.05	103.47	102.53	10.12	4.56	251.72	2.77	9427	-34.48	0.2408	0.1014
1476	0.08	5.71	0.01	9.20	0.89	17.33	93.57	55.57	0.23	4.94	13.80	1.64	2.20	7.84	7.66	1.61	4.42	54.96	3.10	0.04	0.97	0.03	2.89	0.52	6.08	30.84	15.56	0.38	4.10	12.47	1.12	1.15	4.50	4.37	0.70	1.46	15.18	3.25	9527	-33.84	0.2638	0.1100
1486	0.05	4.40	0.02	8.72	0.83	12.55	82.50	67.83	0.00	4.75	5.58	0.83	1.80	5.62	5.44	1.23	2.67	67.27	3.38	0.01	1.48	0.04	1.70	0.34	2.02	7.59	10.93	0.00	1.02	2.70	0.11	0.29	1.75	1.78	0.40	0.18	11.02	1.43	9631	-35.33	0.2132	0.0881
1495	0.54	6.64	0.00	7.29	0.77	12.46	80.74	69.29	0.01	4.97	7.26	1.48	2.10	10.53	10.34	1.50	2.53	68.70	2.47	0.21	1.01	0.01	1.40	0.42	2.88	7.27	40.19	0.02	1.19	2.15	0.41	0.43	1.88	1.88	0.37	0.22	40.22	1.32	9727	-34.41	0.2432	0.0995
1508	0.11	6.75	0.02	6.63	1.50	19.27	96.33	41.45	0.10	6.28	7.83	1.58	2.57	9.88	9.65	1.82	3.24	40.68	4.20	0.06	1.57	0.04	1.82	1.15	4.65	13.16	11.87	0.18	2.48	3.67	0.58	0.43	2.78	2.77	0.38	0.67	11.75	2.50	9871	-35.38	0.2117	0.0855
1519	0.14	4.78	0.00	7.93	1.17	16.85	74.17	50.38	0.33	6.03	5.58	0.98	2.67	10.55	10.32	1.95	2.85	49.65	3.51	0.10	0.94	0.00	3.49	1.11	6.27	9.87	15.25	0.75	2.52	2.04	0.45	0.97	4.92	4.85	0.72	0.28	14.96	1.78	9991	-35.38	0.2117	0.0846
1530	0.28	3.90	0.00	4.20	1.18	16.22	85.17	171.13	0.00	4.73	5.55	1.17	2.32	7.02	6.84	1.75	3.48	170.57	3.05	0.10	0.61	0.00	1.38	0.45	2.92	17.50	148.46	0.00	0.99	3.85	0.68	0.72	3.29	3.29	0.72	0.45	148.49	1.37	10125	-34.75	0.2316	0.0916
1541	0.15	4.32	0.00	9.22	1.50	17.80	108.20	34.10	0.24	4.58	14.84	1.02	1.46	6.14	5.97	0.91	4.23	33.58	3.38	0.10	0.81	0.00	8.07	1.07	3.77	22.19	10.25	0.48	1.47	15.93	0.32	0.25	1.75	1.73	0.30	1.28	10.23	1.39	10261	-34.52	0.2394	0.0936
1552	0.26	5.55	0.27	12.68	1.03	15.53	87.33	51.52	2.63	5.60	9.98	0.83	2.15	7.57	7.35	1.48	2.84	50.85	4.11	0.28	1.19	0.47	11.33	0.37	2.98	18.16	17.91	3.94	1.43	5.89	0.38	0.88	3.66	3.63	0.78	0.48	17.78	1.31	10401	-35.59	0.2055	0.0794
1563	0.07	4.20	0.00	5.28	0.82	15.52	74.00	70.20	0.00	4.98	3.00	0.77	2.07	6.45	6.26	1.47	3.19	69.60	3.76	0.02	0.61	0.00	0.80	0.13	4.08	6.14	7.63	0.00	1.73	0.84	0.31	0.58	2.51	2.52	0.53	0.32	7.73	1.87	10547	-36.36	0.1841	0.0703
1574	0.28	5.37	0.02	8.25	0.97	19.12	86.17	60.32	1.33	5.72	7.87	1.12	1.87	5.32	5.10	1.19	3.67	59.63	4.70	0.09	0.83	0.04	3.09	0.55	6.92	12.86	27.90	1.56	2.86	2.81	0.49	0.83	2.11	2.02	0.50	0.85	27.57	2.52	10707	-36.56	0.1789	0.0675
1585	1.32	7.65	0.50	7.18	1.72	23.23	90.33	119.07	0.20	9.07	7.75	1.82	3.18	9.52	9.17	2.11	2.59	117.97	7.34	1.53	1.31	1.12	1.74	0.42	6.00	3.35	53.39	0.45	1.85	2.55	0.54	1.26	4.00	3.98	1.19	0.51	53.24	1.86	10868	-36.84	0.1719	0.0641
1596	0.07	5.58	0.03	7.93	0.85	18.68	85.33	90.60	0.00	7.53	10.25	1.62	2.40	7.63	7.35	1.50	2.60	89.68	6.00	0.03	0.92	0.07	4.51	0.38	3.33	8.94	8.15	0.00	2.30	6.09	0.56	0.60	3.22	3.15	0.39	0.41	8.03	1.83	11041	-36.81	0.1726	0.0637
1607	0.13	6.07	0.08	7.72	1.45	30.38	91.67	63.67	3.80	10.88	10.57	2.02	3.52	15.55	15.14	2.22	2.83	62.35	7.89	0.06	1.19	0.12	2.27	0.99	7.93	6.87	16.79	7.27	3.47	2.77	0.35	0.95	4.78	4.78	0.68	0.17	16.63	3.60	11218	-38.04	0.1448	0.0528
1618	0.05	6.35	0.13	15.53	1.12	18.33	74.50	31.32	1.73	7.63	13.72	0.78	1.75	7.87	7.58	0.84	2.47	30.40	6.17	0.02	0.58	0.09	12.53	0.47	3.77	12.24	4.42	1.70	2.40	12.60	0.24	0.25	0.98	0.93	0.13	0.26	4.27	2.32	11401	-37.02	0.1675	0.0603
1629	0.37	4.15	0.02	3.72	1.55	51.80	90.17	83.93	5.03	20.13	10.38	3.12	7.15	56.22	55.45	4.75	2.97	81.47	13.83	0.32	0.84	0.04	2.65	0.59	14.51	17.18	46.80	5.55	10.96	5.41	0.71	1.87	15.94	15.66	0.76	0.81	45.58	9.88	11631	-38.92	0.1277	0.0454
1640	0.64	5.50	0.00	5.22	2.22	87.58	120.83	124.18	6.47	37.98	9.58	4.33	12.92	115.92	114.47	8.39	2.33	119.58	23.91	0.25	0.81	0.00	2.72	0.80	34.13	33.60	38.19	7.83	13.36	6.61	1.47	4.85	28.05	27.66	3.50	0.34	37.72	10.99	11944	-41.09	0.0936	0.0329
1651	0.49	11.06	0.04	41.46	1.59	70.48	101.00	135.00	3.62	34.87	28.86	4.86	14.63	162.45	161.13	10.48	2.20	130.78	17.95	0.38	7.71	0.05	78.52	0.82	32.84	26.52	68.56	5.90	21.39	42.07	2.75	8.34	107.63	106.86	6.00	0.39	66.18	11.33	12241	-40.47	0.1023	0.0355
1658	0.39	12.19	0.00	83.24	1.05	87.15	115.74	107.97	27.00	49.50	62.86	4.18	15.31	133.86	131.98	9.42	1.88	101.98	33.48	0.23	5.80	0.00	105.78	0.75	43.67	37.80	47.06	31.28	26.84	61.47	2.69	6.44	77.58	77.12	4.84	0.38	44.64	24.14	12491	-41.31	0.0907	0.0312
1661	0.24	6.83	0.07	11.50	1.73	63.52	107.83	109.67	4.87	32.97	20.97	4.73	6.45	51.85	50.60	2.53	2.01	105.67	25.25	0.14	2.98	0.15	12.79	0.11	13.84	33.04	25.44	4.45	10.06	11.06	1.55	2.74	16.49	16.49	2.17	0.29	24.66	10.44	12568	-39.69	0.1144	0.0392
1673	0.33	6.37	0.00	2.32	2.43	46.67	86.83	70.58	10.20	23.68	9.92	2.38	7.22	45.83	44.93	4.40	1.98	67.72	18.35	0.20	1.25	0.00	1.26	1.24	12.55	18.71	9.66	16.33	6.77	3.54	0.55	0.99	12.61	12.71	1.00	0.06	9.73	7.51	12824	-39.48	0.1179	0.0398
1684	0.10	5.46	0.00	3.41	1.71	29.24	68.44	34.01	0.06	11.47	8.70	1.13	3.03	19.97	19.53	1.66	2.61	32.64	8.29	0.04	0.34	0.00	2.54	0.85	4.07	16.34	4.61	0.14	2.02	6.33	0.16	0.42	4.47	4.54	0.51	0.49	4.68	2.70	13094	-38.45	0.1365	0.0455
1694	0.29	5.33	0.00	4.98	2.48	31.63	82.33	96.53	0.40	14.05	11.98	1.77	5.03	25.37	24.83	3.36	2.32	94.83	9.53	0.15	0.34	0.00	1.46	0.82	7.47	9.84	15.99	0.58	4.75	7.02	0.60	1.16	7.58	7.42	0.73	0.24	15.66	3.55	13299	-37.79	0.1500	0.0494
1708	0.17	5.18	0.00	4.85	1.87	33.90	67.08	47.53	1.93	15.25	12.20	1.60	4.02	20.70	20.12	2.20	2.24	45.70	11.23	0.02	0.43	0.00	6.11	0.41	4.60	6.04	15.28	4.06	2.37	8.60	0.48	0.27	3.08	3.07	0.24	0.20	15.24	2.36	13588	-38.05	0.1446	0.0468
1717	0.80	6.42	0.00	8.78	2.62	81.57	113.83	152.63	7.20	41.58	18.65	5.67	12.87	110.82	109.24	7.92	2.04	147.62	26.54	0.38	0.99	0.00	8.56	1.00	25.05	31.48	54.37	12.06	17.67	7.28	1.70	3.48	34.78	34.53	2.08	0.27	53.78	16.48	13757	-40.19	0.1065	0.0341
1728	0.50	5.50	0.00	3.78	1.40	31.36	81.26	74.00	0.08	12.88	8.40	1.42	3.58	20.16	19.67	2.05	2.50	72.44	8.85	0.31	0.89	0.00	1.39	0.45	5.93	7.08	10.79	0.16	3.30	3.68	0.26	0.46	3.99	3.92	0.58	0.28	10.55	2.88	13988	-36.48	0.1809	0.0571
1739	0.17	5.08	0.00	3.87	2.42	27.00	75.17	68.00	0.17	13.98	7.07	2.25	3.72	24.75	24.22	2.05	2.18	66.32	8.60	0.07	0.66	0.00	4.38	1.78	6.80	18.85	19.87	0.37	6.27	4.22	1.49	0.95	11.69	11.49	0.68	0.57	19.40	4.48	14171	-35.80	0.1994	0.0621
1751	0.24	5.84	0.04	1.92	2.46	47.08	78.00	71.78	1.60	22.36	5.18	2.44	6.66	35.14	34.29	4.00	2.17	69.06	14.92	0.16	1.59	0.08	1.18	0.44	9.77	11.68	36.52	3.20	6.61	2.93	0.83	1.79	12.01	11.83	1.44	0.23	36.36	4.99	14361	-37.48	0.1568	0.0481
1761	1.15	2.98	0.00	1.52	2.25	92.00	95.00	226.50	0.18	51.15	3.97	5.30	17.20	161.00	159.06	11.11	1.85	220.30	28.37	0.47	0.57	0.00	0.85	0.61	40.05	22.12	47.43	0.41	23.64	1.57	1.51	5.69	54.49	53.59	3.21	0.38	46.54	15.98	14615	-39.47	0.1180	0.0357
1772	1.01	6.08	0.00	10.82	2.15	112.62	105.17	230.67	5.33	61.60	9.25	7.57	18.08	196.50	194.16	10.75	1.89	223.22	34.82	0.29	1.95	0.00	19.41	0.67	27.20	27.36	62.56	11.93	19.15	14.78	2.97	4.43	57.54	56.97	2.24	0.20	60.54	13.82	14923	-39.63	0.1154	0.0344
1783	1.70	5.42	0.00	5.35	2.28	107.57	99.00	242.50	0.00	61.22	4.95	8.28	24.23	258.50	256.17	16.94	1.78	235.10	29.48	0.94	1.72	0.00	4.86	0.86	45.61	31.79	42.32	0.00	26.26	2.67	3.09	5.62	65.19	64.20	2.73	0.11	39.58	18.32	15258	-40.56	0.1010	0.0297
1795	0.84	3.92	0.00	1.90	1.85	65.32	70.67	218.00	0.00	36.72	2.62	9.78	12.73	219.53	218.14	8.36	2.03	213.57	11.24	0.19	1.18	0.00	0.33	0.59	11.53	12.80	37.77	0.00	13.95	1.03	3.26	5.72	110.95	110.52	5.20	0.71	36.73	8.03	15645	-39.05	0.1253	0.0362
1805	1.09	3.70	0.00	2.46	2.24	104.86	86.80	251.60	0.00	48.80	2.68	10.52	30.26	343.80	341.95	24.45	2.53	245.70	-8.36	0.32	0.46	0.00	0.34	0.77	34.01	24.32	79.57	0.00	19.65	0.92	3.14	9.87	103.89	103.65	9.19	1.56	78.57	21.60	15946	-40.96	0.0954	0.0272
1818	1.07	3.73	0.00	2.37	2.20	85.92	76.50	200.67	0.00	46.97	3.33	7.63	25.90	272.00	270.22	20.31	1.89	194.97	12.05	0.28	0.51	0.00	0.52	0.59	22.40	15.25	36.01	0.00	15.42	0.74	1.40	7.13	60.99	60.52	5.98	0.20	34.32	10.31	16394	-39.90	0.1110	0.0310
1827	0.85	3.92	0.00	1.98	2.80	89.14	70.20	186.40	0.00	54.60	1.46	6.84	19.64	197.20	195.12	13.14	1.65	179.80	28.90	0.22	0.65	0.00	0.71	0.97	16.22	11.07	53.01	0.00	12.86	0.31	1.65	5.30	58.39	57.96	4.13	0.10	51.71	7.27	16652	-37.85	0.1488	0.0411
1838	1.18	3.85	0.00	2.00	3.15	98.92	70.83	210.83	0.00	60.13	3.43	7.67	20.68	180.12	177.83	13.53	1.71	203.55	29.71	0.69	1.34	0.00	0.24	0.70	24.72	16.68	48.08	0.00	20.67	1.47	1.98	4.37	49.25	48.94	3.21	0.19	45.81	19.06	16973	-37.79	0.1500	0.0407
1849	0.70	4.94	0.00	1.66	2.56	96.80	71.40	168.00	0.56	48.06	1.68	6.42	20.56	191.40	189.57	14.84	2.05	162.18	18.08	0.16	1.49	0.00	0.43	0.37	30.51	13.54	45.83	1.02	16.13	0.68	1.19	4.76	58.26	57.80	3.16	0.21	43.98	11.26	17294	-38.67	0.1323	0.0354
1862	0.80	5.62	0.00	1.95	2.88	78.38	65.83	168.32	0.40	44.83	1.45	6.92	20.25	205.00	203.29	14.91	1.78	162.88	21.42	0.38	1.86	0.00	0.62	0.57	29.65	16.61	82.49	0.89	19.40	0.34	1.72	6.10	79.13	78.42	4.35	0.11	80.33	10.91	17700	-38.11	0.1433	0.0376
1872	0.73	5.48	0.00	1.96	2.90	91.48	68.40	155.98	0.00	47.04	1.44	6.86	20.76	206.20	204.41	15.16	1.99	150.28	20.11	0.37	1.86	0.00	0.70	0.75	21.90	14.04	70.41	0.00	15.01	0.31	2.62	5.90	94.15	93.65	4.37	0.15	68.69	7.19	18032	-39.09	0.1246	0.0321
1882	1.14	7.56	0.00	5.11	3.54	106.20	75.60	200.60	0.00	61.18	2.78	8.14	28.42	276.00	273.68	21.14	1.78	193.20	19.46	0.34	2.47	0.00	2.17	0.85	17.01	7.96	39.06	0.00	13.52	0.90	1.89	5.07	60.51	60.65	5.89	0.23	38.29	18.44	18374	-40.35	0.1041	0.0265
1893	2.16	4.88	0.00	2.15	4.15	117.88	79.00	249.50	0.00	61.13	2.87	5.72	21.88	195.00	192.68	14.61	1.94	242.08	34.82	1.81	2.27	0.00	0.74	0.59	23.09	18.84	64.48	0.00	13.19	1.04	1.04	4.00	39.59	39.12	2.62	0.10	63.35	8.44	18797	-40.01	0.1093	0.0273
1904	1.87	4.44	0.00	2.58	3.74	121.02	81.00	349.00	0.00	63.06	4.52	7.64	28.74	247.40	245.00	21.24	1.94	341.38	39.58	0.92	0.94	0.00	0.83	0.20	28.51	8.88	90.97	0.00	18.06	1.49	1.14	4.70	36.48	35.98	3.23	0.11	89.12	15.73	19222	-41.31	0.0907	0.0223
1915	0.99	5.68	0.00	3.13	2.98	92.67	72.50	270.00	0.02	60.58	3.03	7.98	31.77	327.33	325.03	24.56	1.54	262.67	23.07	0.25	1.51	0.00	1.09	0.27	23.80	12.49	60.61	0.04	17.79	1.48	2.18	5.40	85.72	85.15	3.91	0.11	58.85	10.81	19711	-41.34	0.0904	0.0218
1925	1.12	5.22	0.00	2.73	3.07	110.82	81.67	285.67	0.00	70.92	2.45	9.58	31.05	301.00	298.30	22.61	1.55	277.08	38.62	0.51	1.43	0.00	1.12	0.38	36.96	21.19	57.24	0.00	22.32	1.22	2.95	11.27	104.11	103.59	9.11	0.09	55.10	17.89	20180	-40.75	0.0983	0.0234
1937	0.82	5.43	0.00	4.08	3.03	88.47	76.50	184.00	0.10	54.47	1.60	6.07	22.07	195.17	193.10	15.59	1.68	177.40	31.69	0.38	1.23	0.00	1.80	0.83	19.49	20.29	50.82	0.22	17.35	0.80	1.65	5.22	58.46	57.83	3.86	0.22	48.82	11.01	20701	-41.35	0.0902	0.0211
1947	1.72	4.40	0.00	1.93	3.10	115.18	78.50	290.33	0.43	64.85	2.52	6.52	24.18	217.50	215.04	16.46	1.82	282.50	43.05	0.83	0.53	0.00	0.30	0.55	26.05	8.88	65.16	0.97	18.32	1.18	0.45	2.83	19.41	19.26	2.84	0.16	63.57	18.03	21145	-41.66	0.0863	0.0198
1959	1.51	5.13	0.00	2.60	2.12	98.20	78.00	326.00	0.00	60.03	3.60	9.27	36.35	490.17	487.89	29.20	1.65	318.73	24.04	0.29	0.92	0.00	0.57	0.48	18.50	12.87	16.08	0.00	13.00	1.44	1.40	3.82	45.47	45.04	2.47	0.13	16.08	10.26	21668	-41.25	0.0915	0.0206
1970	1.70	6.36	0.00	2.62	2.50	126.90	79.80	338.00	0.00	76.12	3.16	9.00	31.60	386.80	383.91	22.54	1.66	328.80	43.12	0.42	1.47	0.00	0.74	0.57	34.76	17.14	59.91	0.00	19.05	1.49	2.05	10.04	95.25	95.02	9.04	0.08	58.71	18.16	22272	-41.49	0.0884	0.0196
1975	1.48	3.94	0.00	2.31	2.59	94.66	88.75	350.75	0.00	53.49	4.76	7.71	34.66	468.00	465.97	28.30	1.81	344.27	21.47	0.34	1.41	0.00	0.35	0.45	24.89	18.35	61.04	0.00	9.91	1.82	2.24	11.16	138.84	138.63	10.40	0.51	60.46	9.06	22542	-40.33	0.1044	0.0229
1981	1.07	3.66	0.00	2.08	3.10	122.20	75.60	271.20	0.12	72.40	1.32	7.66	32.52	300.80	298.05	23.90	1.70	262.44	49.25	0.08	1.02	0.00	0.26	0.87	13.53	5.68	21.49	0.24	10.20	0.92	1.05	2.61	43.16	43.32	3.57	0.09	21.38	12.01	22829	-41.56	0.0876	0.0190
1992	1.78	4.10	0.00	3.20	2.32	110.82	83.00	370.83	0.00	84.03	4.60	17.05	37.92	566.00	562.81	27.92	1.34	360.65	42.64	0.44	0.94	0.00	0.61	0.29	27.88	16.57	50.27	0.00	20.64	1.20	2.45	9.13	147.39	146.71	7.34	0.20	48.09	12.66	23403	-40.74	0.0984	0.0210
2005	0.97	3.96	0.00	1.88	2.92	99.72	78.60	218.20	0.00	62.38	2.66	8.88	37.22	359.60	357.23	29.80	1.61	210.64	42.11	0.27	1.27	0.00	0.57	0.43	16.92	9.16	33.81	0.00	12.08	1.62	2.73	16.91	143.57	143.43	16.49	0.09	33.48	12.37	24076	-40.54	0.1013	0.0212
2014	0.72	2.97	0.00	1.40	2.63	83.52	78.17	205.17	0.00	43.15	2.83	4.88	18.55	175.33	173.70	13.41	1.94	199.95	30.10	0.11	0.58	0.00	0.13	0.31	12.37	6.52	11.62	0.00	6.61	1.09	0.71	1.71	22.11	22.01	1.65	0.07	11.09	6.19	24532	-40.19	0.1065	0.0219
2025	0.86	4.48	0.00	0.88	3.67	55.60	53.50	100.83	0.00	28.67	2.32	2.15	8.42	49.95	48.86	5.00	2.05	97.37	19.57	0.78	1.18	0.00	0.15	1.21	7.27	15.95	13.22	0.00	9.37	1.84	0.42	1.02	5.57	5.40	1.65	0.39	12.91	8.95	25006	-36.61	0.1776	0.0359
2036	2.06	5.05	0.00	3.42	2.22	104.52	83.17	295.00	0.00	69.95	2.95	12.20	35.12	371.50	368.84	26.79	1.50	286.55	42.15	1.63	0.84	0.00	1.29	0.34	16.09	6.57	92.06	0.00	14.63	0.76	1.30	4.78	64.44	64.10	3.75	0.07	90.37	12.30	25587	-42.09	0.0812	0.0161
2047	1.00	4.08	0.00	2.33	3.08	102.07	71.50	263.33	0.00	77.17	1.82	11.13	30.88	277.17	274.23	21.70	1.33	253.98	55.80	0.27	0.76	0.00	0.42	0.36	23.66	13.15	85.62	0.00	20.12	0.51	1.41	7.87	62.54	62.03	5.97	0.10	83.46	17.31	26043	-40.73	0.0986	0.0192
