/* DATA DESCRIPTION:
Citation:	Gkinis, Vasileios; Simonsen, Sebastian B; Buchardt, Susanne L; White, James W C; Vinther, Bo M (2014): Accumulation reconstruction using a DJ model for the NorthGRIP site. PANGAEA, https://doi.org/10.1594/PANGAEA.871564, 
	In supplement to: Gkinis, V et al. (2014): Water isotope diffusion rates from the NorthGRIP ice core for the last 16,000 years – Glaciological and paleoclimatic implications. Earth and Planetary Science Letters, 405, 132-141, https://doi.org/10.1016/j.epsl.2014.08.022
Project(s):	North Greenland Ice Core Project (NGRIP) (URI: http://www.gfy.ku.dk/~www-glac/ngrip/index_eng.htm)
Coverage:	LATITUDE: 75.100000 * LONGITUDE: -42.320000
	DATE/TIME START: 1996-07-01T00:00:00 * DATE/TIME END: 1996-07-01T00:00:00
	MINIMUM DEPTH, ice/snow: 22.375 m * MAXIMUM DEPTH, ice/snow: 1635.375 m
Event(s):	NGRIP * LATITUDE: 75.100000 * LONGITUDE: -42.320000 * DATE/TIME: 1996-07-01T00:00:00 * ELEVATION: 2925.0 m * CAMPAIGN: NGRIP * BASIS: Sampling/drilling ice * METHOD/DEVICE: Ice drill (ICEDRILL)
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE * PI: Gkinis, Vasileios (https://orcid.org/0000-0002-5910-1549, v.gkinis@nbi.ku.dk, http://www.nbi.ku.dk/english/staff/?pure=en/persons/339558)
	Age [ka b2k] (Age) * PI: Gkinis, Vasileios (https://orcid.org/0000-0002-5910-1549, v.gkinis@nbi.ku.dk, http://www.nbi.ku.dk/english/staff/?pure=en/persons/339558)
	Accumulation rate in ice equivalent per year [m/a] (Acc rate ice per year) * PI: Gkinis, Vasileios (https://orcid.org/0000-0002-5910-1549, v.gkinis@nbi.ku.dk, http://www.nbi.ku.dk/english/staff/?pure=en/persons/339558)
	Annual layer thickness [m] (Ann layer thick) * PI: Gkinis, Vasileios (https://orcid.org/0000-0002-5910-1549, v.gkinis@nbi.ku.dk, http://www.nbi.ku.dk/english/staff/?pure=en/persons/339558) * COMMENT: The annual layer thickness lambda is based on the GICC05 chronology
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	9681 data points
*/
Depth ice/snow [m]	Age [ka b2k]	Acc rate ice per year [m/a]	Ann layer thick [m]
329.875	1.6949	0.2007	0.1762
330.375	1.6977	0.2015	0.1769
330.875	1.7006	0.2017	0.1771
331.375	1.7036	0.1994	0.1750
331.875	1.7067	0.1970	0.1728
332.375	1.7098	0.1946	0.1707
332.875	1.7128	0.1922	0.1685
333.375	1.7159	0.1898	0.1664
333.875	1.7189	0.1874	0.1642
334.375	1.7219	0.1872	0.1640
334.875	1.7249	0.1881	0.1648
335.375	1.7278	0.1891	0.1657
335.875	1.7308	0.1901	0.1665
336.375	1.7338	0.1910	0.1673
336.875	1.7367	0.1920	0.1681
337.375	1.7397	0.1930	0.1689
337.875	1.7427	0.1923	0.1683
338.375	1.7458	0.1914	0.1674
338.875	1.7488	0.1904	0.1666
339.375	1.7519	0.1895	0.1657
339.875	1.7550	0.1886	0.1649
340.375	1.7580	0.1877	0.1640
340.875	1.7610	0.1876	0.1639
341.375	1.7639	0.1890	0.1651
341.875	1.7669	0.1903	0.1662
342.375	1.7698	0.1917	0.1674
342.875	1.7727	0.1931	0.1686
343.375	1.7756	0.1945	0.1697
343.875	1.7785	0.1959	0.1709
344.375	1.7814	0.1971	0.1719
344.875	1.7842	0.1981	0.1728
345.375	1.7870	0.1991	0.1736
345.875	1.7898	0.2001	0.1744
346.375	1.7926	0.2011	0.1753
346.875	1.7955	0.2021	0.1761
347.375	1.7983	0.2031	0.1770
347.875	1.8012	0.2030	0.1768
348.375	1.8042	0.2011	0.1751
348.875	1.8072	0.1991	0.1734
349.375	1.8102	0.1972	0.1716
349.875	1.8132	0.1952	0.1699
350.375	1.8162	0.1933	0.1682
350.875	1.8192	0.1913	0.1664
351.375	1.8225	0.1889	0.1643
351.875	1.8258	0.1863	0.1620
352.375	1.8290	0.1837	0.1597
352.875	1.8323	0.1811	0.1574
353.375	1.8356	0.1785	0.1551
353.875	1.8389	0.1759	0.1528
354.375	1.8419	0.1773	0.1540
354.875	1.8448	0.1808	0.1570
355.375	1.8477	0.1842	0.1599
355.875	1.8506	0.1877	0.1629
356.375	1.8535	0.1912	0.1659
356.875	1.8564	0.1947	0.1688
357.375	1.8593	0.1981	0.1718
357.875	1.8623	0.1988	0.1723
358.375	1.8652	0.1986	0.1721
358.875	1.8681	0.1983	0.1719
359.375	1.8710	0.1981	0.1717
359.875	1.8739	0.1979	0.1715
360.375	1.8769	0.1977	0.1712
360.875	1.8798	0.1975	0.1710
361.375	1.8827	0.1976	0.1711
361.875	1.8856	0.1978	0.1711
362.375	1.8885	0.1979	0.1712
362.875	1.8915	0.1980	0.1713
363.375	1.8944	0.1981	0.1714
363.875	1.8973	0.1983	0.1714
364.375	1.9002	0.1984	0.1715
364.875	1.9032	0.1980	0.1711
365.375	1.9061	0.1976	0.1707
365.875	1.9091	0.1972	0.1704
366.375	1.9120	0.1968	0.1700
366.875	1.9150	0.1965	0.1696
367.375	1.9180	0.1961	0.1693
367.875	1.9211	0.1942	0.1676
368.375	1.9246	0.1888	0.1629
368.875	1.9281	0.1835	0.1583
369.375	1.9316	0.1781	0.1536
369.875	1.9351	0.1728	0.1490
370.375	1.9386	0.1674	0.1443
370.875	1.9418	0.1682	0.1450
371.375	1.9447	0.1729	0.1490
371.875	1.9477	0.1777	0.1531
372.375	1.9506	0.1824	0.1571
372.875	1.9536	0.1872	0.1611
373.375	1.9565	0.1919	0.1652
373.875	1.9594	0.1966	0.1692
374.375	1.9621	0.2001	0.1722
374.875	1.9648	0.2033	0.1749
375.375	1.9674	0.2065	0.1776
375.875	1.9700	0.2096	0.1803
376.375	1.9726	0.2128	0.1829
376.875	1.9752	0.2160	0.1856
377.375	1.9779	0.2192	0.1883
377.875	1.9805	0.2216	0.1904
378.375	1.9832	0.2209	0.1897
378.875	1.9859	0.2201	0.1890
379.375	1.9886	0.2194	0.1884
379.875	1.9913	0.2187	0.1877
380.375	1.9940	0.2179	0.1870
380.875	1.9967	0.2172	0.1863
381.375	1.9994	0.2165	0.1857
381.875	2.0025	0.2120	0.1818
382.375	2.0057	0.2064	0.1770
382.875	2.0089	0.2009	0.1721
383.375	2.0121	0.1953	0.1673
383.875	2.0153	0.1897	0.1625
384.375	2.0186	0.1841	0.1577
384.875	2.0214	0.1848	0.1582
385.375	2.0240	0.1905	0.1631
385.875	2.0266	0.1963	0.1680
386.375	2.0292	0.2021	0.1729
386.875	2.0318	0.2079	0.1778
387.375	2.0343	0.2137	0.1827
387.875	2.0369	0.2195	0.1877
388.375	2.0395	0.2253	0.1926
388.875	2.0427	0.2195	0.1876
389.375	2.0460	0.2111	0.1804
389.875	2.0494	0.2027	0.1731
390.375	2.0527	0.1942	0.1659
390.875	2.0560	0.1858	0.1586
391.375	2.0594	0.1773	0.1514
391.875	2.0623	0.1796	0.1533
392.375	2.0651	0.1844	0.1573
392.875	2.0678	0.1892	0.1614
393.375	2.0706	0.1940	0.1654
393.875	2.0734	0.1988	0.1695
394.375	2.0762	0.2036	0.1735
394.875	2.0790	0.2084	0.1776
395.375	2.0820	0.2087	0.1778
395.875	2.0850	0.2065	0.1759
396.375	2.0880	0.2043	0.1740
396.875	2.0910	0.2022	0.1721
397.375	2.0940	0.2000	0.1703
397.875	2.0970	0.1979	0.1684
398.375	2.1000	0.1957	0.1665
398.875	2.1031	0.1941	0.1651
399.375	2.1063	0.1924	0.1637
399.875	2.1095	0.1908	0.1622
400.375	2.1127	0.1892	0.1608
400.875	2.1158	0.1875	0.1594
401.375	2.1190	0.1859	0.1579
401.875	2.1219	0.1882	0.1599
402.375	2.1246	0.1923	0.1633
402.875	2.1274	0.1964	0.1667
403.375	2.1301	0.2004	0.1701
403.875	2.1328	0.2045	0.1736
404.375	2.1356	0.2086	0.1770
404.875	2.1383	0.2127	0.1804
405.375	2.1412	0.2141	0.1816
405.875	2.1442	0.2113	0.1792
406.375	2.1472	0.2085	0.1768
406.875	2.1502	0.2057	0.1744
407.375	2.1532	0.2030	0.1720
407.875	2.1562	0.2002	0.1696
408.375	2.1592	0.1974	0.1671
408.875	2.1623	0.1959	0.1659
409.375	2.1654	0.1950	0.1650
409.875	2.1685	0.1940	0.1642
410.375	2.1716	0.1930	0.1633
410.875	2.1747	0.1921	0.1625
411.375	2.1778	0.1911	0.1616
411.875	2.1809	0.1901	0.1607
412.375	2.1842	0.1890	0.1598
412.875	2.1874	0.1879	0.1588
413.375	2.1906	0.1868	0.1578
413.875	2.1938	0.1857	0.1568
414.375	2.1971	0.1846	0.1559
414.875	2.2003	0.1837	0.1551
415.375	2.2034	0.1849	0.1561
415.875	2.2065	0.1862	0.1571
416.375	2.2096	0.1874	0.1581
416.875	2.2127	0.1886	0.1591
417.375	2.2158	0.1899	0.1601
417.875	2.2189	0.1911	0.1611
418.375	2.2219	0.1925	0.1623
418.875	2.2248	0.1941	0.1635
419.375	2.2277	0.1956	0.1648
419.875	2.2307	0.1971	0.1660
420.375	2.2336	0.1987	0.1673
420.875	2.2366	0.2002	0.1685
421.375	2.2395	0.2017	0.1698
421.875	2.2428	0.1988	0.1673
422.375	2.2461	0.1950	0.1641
422.875	2.2494	0.1912	0.1608
423.375	2.2527	0.1874	0.1576
423.875	2.2560	0.1836	0.1544
424.375	2.2594	0.1798	0.1511
424.875	2.2625	0.1812	0.1523
425.375	2.2655	0.1839	0.1545
425.875	2.2685	0.1865	0.1567
426.375	2.2715	0.1892	0.1589
426.875	2.2746	0.1919	0.1611
427.375	2.2776	0.1945	0.1633
427.875	2.2806	0.1966	0.1649
428.375	2.2837	0.1963	0.1646
428.875	2.2868	0.1959	0.1643
429.375	2.2898	0.1956	0.1640
429.875	2.2929	0.1953	0.1637
430.375	2.2960	0.1950	0.1634
430.875	2.2990	0.1947	0.1631
431.375	2.3021	0.1948	0.1632
431.875	2.3051	0.1951	0.1634
432.375	2.3082	0.1954	0.1636
432.875	2.3112	0.1957	0.1638
433.375	2.3143	0.1961	0.1641
433.875	2.3173	0.1964	0.1643
434.375	2.3203	0.1968	0.1646
434.875	2.3232	0.1982	0.1657
435.375	2.3261	0.1995	0.1668
435.875	2.3290	0.2009	0.1679
436.375	2.3319	0.2022	0.1690
436.875	2.3349	0.2036	0.1701
437.375	2.3378	0.2049	0.1712
437.875	2.3407	0.2053	0.1714
438.375	2.3439	0.2022	0.1688
438.875	2.3471	0.1992	0.1663
439.375	2.3504	0.1962	0.1637
439.875	2.3536	0.1932	0.1612
440.375	2.3568	0.1901	0.1586
440.875	2.3600	0.1871	0.1560
441.375	2.3630	0.1890	0.1576
441.875	2.3660	0.1909	0.1591
442.375	2.3690	0.1929	0.1607
442.875	2.3720	0.1948	0.1623
443.375	2.3750	0.1968	0.1639
443.875	2.3780	0.1987	0.1654
444.375	2.3810	0.2001	0.1666
444.875	2.3840	0.2004	0.1668
445.375	2.3869	0.2007	0.1670
445.875	2.3899	0.2010	0.1672
446.375	2.3929	0.2014	0.1675
446.875	2.3959	0.2017	0.1677
447.375	2.3988	0.2020	0.1679
447.875	2.4018	0.2024	0.1682
448.375	2.4047	0.2028	0.1685
448.875	2.4077	0.2032	0.1688
449.375	2.4106	0.2036	0.1691
449.875	2.4136	0.2040	0.1694
450.375	2.4165	0.2044	0.1696
450.875	2.4194	0.2048	0.1699
451.375	2.4227	0.2020	0.1676
451.875	2.4260	0.1985	0.1646
452.375	2.4292	0.1950	0.1617
452.875	2.4325	0.1914	0.1587
453.375	2.4358	0.1879	0.1558
453.875	2.4391	0.1844	0.1528
454.375	2.4423	0.1847	0.1530
454.875	2.4454	0.1864	0.1544
455.375	2.4485	0.1882	0.1558
455.875	2.4516	0.1899	0.1572
456.375	2.4547	0.1916	0.1586
456.875	2.4578	0.1934	0.1600
457.375	2.4609	0.1946	0.1610
457.875	2.4640	0.1944	0.1608
458.375	2.4672	0.1943	0.1606
458.875	2.4703	0.1941	0.1605
459.375	2.4734	0.1940	0.1603
459.875	2.4765	0.1939	0.1602
460.375	2.4797	0.1937	0.1600
460.875	2.4829	0.1927	0.1591
461.375	2.4861	0.1916	0.1582
461.875	2.4894	0.1904	0.1572
462.375	2.4926	0.1893	0.1562
462.875	2.4959	0.1881	0.1552
463.375	2.4991	0.1870	0.1543
463.875	2.5024	0.1864	0.1538
464.375	2.5057	0.1861	0.1534
464.875	2.5090	0.1857	0.1531
465.375	2.5123	0.1854	0.1528
465.875	2.5156	0.1850	0.1524
466.375	2.5188	0.1847	0.1521
466.875	2.5220	0.1861	0.1533
467.375	2.5250	0.1886	0.1552
467.875	2.5280	0.1910	0.1572
468.375	2.5311	0.1935	0.1592
468.875	2.5341	0.1959	0.1612
469.375	2.5371	0.1983	0.1631
469.875	2.5402	0.2005	0.1649
470.375	2.5435	0.1977	0.1626
470.875	2.5468	0.1950	0.1602
471.375	2.5501	0.1922	0.1579
471.875	2.5534	0.1894	0.1556
472.375	2.5567	0.1867	0.1533
472.875	2.5600	0.1839	0.1510
473.375	2.5631	0.1859	0.1526
473.875	2.5662	0.1880	0.1543
474.375	2.5693	0.1900	0.1559
474.875	2.5724	0.1920	0.1575
475.375	2.5755	0.1941	0.1591
475.875	2.5786	0.1961	0.1608
476.375	2.5817	0.1971	0.1616
476.875	2.5848	0.1974	0.1617
477.375	2.5878	0.1976	0.1619
477.875	2.5909	0.1978	0.1620
478.375	2.5940	0.1981	0.1622
478.875	2.5971	0.1983	0.1624
479.375	2.6002	0.1985	0.1625
479.875	2.6032	0.1986	0.1625
480.375	2.6063	0.1986	0.1625
480.875	2.6094	0.1987	0.1625
481.375	2.6125	0.1987	0.1625
481.875	2.6155	0.1988	0.1625
482.375	2.6186	0.1988	0.1625
482.875	2.6217	0.1986	0.1623
483.375	2.6248	0.1982	0.1619
483.875	2.6280	0.1978	0.1615
484.375	2.6311	0.1973	0.1611
484.875	2.6342	0.1969	0.1607
485.375	2.6373	0.1965	0.1603
485.875	2.6404	0.1963	0.1602
486.375	2.6434	0.1979	0.1615
486.875	2.6464	0.1995	0.1627
487.375	2.6493	0.2011	0.1640
487.875	2.6523	0.2027	0.1652
488.375	2.6553	0.2043	0.1665
488.875	2.6582	0.2059	0.1678
489.375	2.6614	0.2051	0.1670
489.875	2.6648	0.2008	0.1635
490.375	2.6682	0.1964	0.1599
490.875	2.6716	0.1921	0.1564
491.375	2.6749	0.1878	0.1528
491.875	2.6783	0.1835	0.1492
492.375	2.6816	0.1830	0.1488
492.875	2.6846	0.1862	0.1514
493.375	2.6876	0.1894	0.1540
493.875	2.6907	0.1927	0.1566
494.375	2.6937	0.1959	0.1592
494.875	2.6967	0.1991	0.1617
495.375	2.6998	0.2023	0.1643
495.875	2.7028	0.2027	0.1646
496.375	2.7058	0.2028	0.1646
496.875	2.7089	0.2030	0.1647
497.375	2.7119	0.2031	0.1648
497.875	2.7149	0.2033	0.1649
498.375	2.7180	0.2034	0.1649
498.875	2.7211	0.2028	0.1644
499.375	2.7243	0.2005	0.1625
499.875	2.7276	0.1982	0.1606
500.375	2.7308	0.1960	0.1588
500.875	2.7341	0.1937	0.1569
501.375	2.7374	0.1915	0.1550
501.875	2.7405	0.1904	0.1541
502.375	2.7434	0.1946	0.1575
502.875	2.7462	0.1989	0.1609
503.375	2.7490	0.2031	0.1643
503.875	2.7518	0.2073	0.1677
504.375	2.7546	0.2116	0.1710
504.875	2.7574	0.2158	0.1744
505.375	2.7603	0.2193	0.1772
505.875	2.7635	0.2154	0.1740
506.375	2.7666	0.2115	0.1709
506.875	2.7698	0.2077	0.1677
507.375	2.7730	0.2038	0.1645
507.875	2.7762	0.1999	0.1613
508.375	2.7793	0.1960	0.1582
508.875	2.7823	0.1974	0.1592
509.375	2.7852	0.2001	0.1614
509.875	2.7881	0.2029	0.1636
510.375	2.7910	0.2056	0.1657
510.875	2.7939	0.2084	0.1679
511.375	2.7968	0.2111	0.1701
511.875	2.7997	0.2139	0.1723
512.375	2.8030	0.2097	0.1689
512.875	2.8064	0.2048	0.1649
513.375	2.8097	0.1998	0.1608
513.875	2.8131	0.1948	0.1568
514.375	2.8165	0.1899	0.1527
514.875	2.8198	0.1849	0.1487
515.375	2.8232	0.1845	0.1483
515.875	2.8266	0.1843	0.1482
516.375	2.8300	0.1841	0.1480
516.875	2.8334	0.1840	0.1478
517.375	2.8368	0.1838	0.1477
517.875	2.8402	0.1836	0.1475
518.375	2.8436	0.1834	0.1472
518.875	2.8470	0.1831	0.1470
519.375	2.8504	0.1828	0.1467
519.875	2.8539	0.1825	0.1465
520.375	2.8573	0.1823	0.1462
520.875	2.8606	0.1829	0.1467
521.375	2.8636	0.1870	0.1499
521.875	2.8666	0.1910	0.1531
522.375	2.8696	0.1951	0.1563
522.875	2.8726	0.1991	0.1595
523.375	2.8756	0.2032	0.1627
523.875	2.8785	0.2072	0.1659
524.375	2.8815	0.2090	0.1673
524.875	2.8846	0.2086	0.1669
525.375	2.8876	0.2082	0.1665
525.875	2.8906	0.2077	0.1662
526.375	2.8937	0.2073	0.1658
526.875	2.8967	0.2069	0.1654
527.375	2.8997	0.2065	0.1650
527.875	2.9028	0.2058	0.1644
528.375	2.9059	0.2050	0.1638
528.875	2.9090	0.2043	0.1632
529.375	2.9121	0.2036	0.1626
529.875	2.9152	0.2029	0.1620
530.375	2.9184	0.2021	0.1613
530.875	2.9215	0.2016	0.1609
531.375	2.9246	0.2014	0.1607
531.875	2.9277	0.2011	0.1604
532.375	2.9309	0.2009	0.1602
532.875	2.9340	0.2007	0.1599
533.375	2.9371	0.2004	0.1597
533.875	2.9403	0.2003	0.1596
534.375	2.9433	0.2018	0.1607
534.875	2.9463	0.2032	0.1618
535.375	2.9493	0.2047	0.1630
535.875	2.9522	0.2062	0.1641
536.375	2.9552	0.2076	0.1652
536.875	2.9582	0.2091	0.1663
537.375	2.9612	0.2098	0.1669
537.875	2.9643	0.2095	0.1666
538.375	2.9673	0.2092	0.1663
538.875	2.9703	0.2088	0.1660
539.375	2.9734	0.2085	0.1657
539.875	2.9764	0.2082	0.1654
540.375	2.9794	0.2079	0.1651
540.875	2.9826	0.2066	0.1640
541.375	2.9857	0.2052	0.1628
541.875	2.9889	0.2037	0.1617
542.375	2.9921	0.2023	0.1605
542.875	2.9953	0.2008	0.1593
543.375	2.9984	0.1994	0.1581
543.875	3.0016	0.1985	0.1574
544.375	3.0048	0.1983	0.1571
544.875	3.0080	0.1980	0.1569
545.375	3.0112	0.1978	0.1567
545.875	3.0145	0.1975	0.1564
546.375	3.0177	0.1973	0.1562
546.875	3.0209	0.1971	0.1560
547.375	3.0241	0.1973	0.1561
547.875	3.0273	0.1974	0.1562
548.375	3.0304	0.1976	0.1563
548.875	3.0336	0.1977	0.1563
549.375	3.0368	0.1979	0.1564
549.875	3.0400	0.1980	0.1565
550.375	3.0434	0.1961	0.1550
550.875	3.0468	0.1942	0.1534
551.375	3.0502	0.1924	0.1519
551.875	3.0536	0.1905	0.1504
552.375	3.0570	0.1886	0.1489
552.875	3.0604	0.1871	0.1476
553.375	3.0636	0.1886	0.1488
553.875	3.0668	0.1900	0.1499
554.375	3.0701	0.1915	0.1510
554.875	3.0733	0.1930	0.1522
555.375	3.0765	0.1945	0.1533
555.875	3.0798	0.1960	0.1544
556.375	3.0831	0.1948	0.1535
556.875	3.0865	0.1935	0.1524
557.375	3.0899	0.1921	0.1513
557.875	3.0933	0.1908	0.1502
558.375	3.0967	0.1895	0.1491
558.875	3.1000	0.1881	0.1480
559.375	3.1031	0.1909	0.1501
559.875	3.1062	0.1936	0.1522
560.375	3.1093	0.1963	0.1543
560.875	3.1124	0.1990	0.1564
561.375	3.1155	0.2017	0.1585
561.875	3.1186	0.2044	0.1606
562.375	3.1220	0.2030	0.1594
562.875	3.1255	0.1981	0.1555
563.375	3.1291	0.1933	0.1517
563.875	3.1327	0.1884	0.1479
564.375	3.1362	0.1836	0.1440
564.875	3.1398	0.1787	0.1402
565.375	3.1434	0.1786	0.1401
565.875	3.1469	0.1788	0.1402
566.375	3.1505	0.1790	0.1403
566.875	3.1541	0.1791	0.1404
567.375	3.1576	0.1793	0.1404
567.875	3.1611	0.1798	0.1408
568.375	3.1645	0.1812	0.1419
568.875	3.1680	0.1825	0.1429
569.375	3.1714	0.1839	0.1439
569.875	3.1748	0.1853	0.1449
570.375	3.1782	0.1866	0.1460
570.875	3.1816	0.1879	0.1469
571.375	3.1849	0.1890	0.1477
571.875	3.1882	0.1901	0.1485
572.375	3.1915	0.1912	0.1494
572.875	3.1948	0.1923	0.1502
573.375	3.1981	0.1934	0.1510
573.875	3.2012	0.1950	0.1523
574.375	3.2043	0.1975	0.1542
574.875	3.2073	0.2000	0.1561
575.375	3.2104	0.2025	0.1580
575.875	3.2134	0.2050	0.1599
576.375	3.2165	0.2075	0.1618
576.875	3.2195	0.2100	0.1637
577.375	3.2228	0.2081	0.1622
577.875	3.2261	0.2054	0.1600
578.375	3.2294	0.2027	0.1579
578.875	3.2327	0.2000	0.1557
579.375	3.2361	0.1972	0.1536
579.875	3.2394	0.1945	0.1514
580.375	3.2425	0.1957	0.1523
580.875	3.2456	0.1977	0.1538
581.375	3.2487	0.1998	0.1554
581.875	3.2518	0.2018	0.1569
582.375	3.2549	0.2039	0.1585
582.875	3.2580	0.2059	0.1600
583.375	3.2612	0.2070	0.1608
583.875	3.2643	0.2063	0.1602
584.375	3.2675	0.2056	0.1597
584.875	3.2707	0.2050	0.1591
585.375	3.2739	0.2043	0.1586
585.875	3.2770	0.2036	0.1580
586.375	3.2802	0.2030	0.1575
586.875	3.2834	0.2030	0.1574
587.375	3.2866	0.2029	0.1573
587.875	3.2898	0.2029	0.1573
588.375	3.2930	0.2028	0.1572
588.875	3.2961	0.2028	0.1571
589.375	3.2993	0.2027	0.1570
589.875	3.3028	0.1994	0.1544
590.375	3.3064	0.1953	0.1512
590.875	3.3100	0.1912	0.1480
591.375	3.3136	0.1871	0.1447
591.875	3.3172	0.1829	0.1415
592.375	3.3207	0.1808	0.1398
592.875	3.3238	0.1854	0.1434
593.375	3.3269	0.1901	0.1469
593.875	3.3300	0.1947	0.1505
594.375	3.3331	0.1994	0.1540
594.875	3.3361	0.2040	0.1576
595.375	3.3392	0.2087	0.1611
595.875	3.3426	0.2074	0.1601
596.375	3.3460	0.2041	0.1575
596.875	3.3494	0.2009	0.1550
597.375	3.3528	0.1976	0.1524
597.875	3.3562	0.1944	0.1499
598.375	3.3596	0.1911	0.1473
598.875	3.3630	0.1905	0.1469
599.375	3.3664	0.1904	0.1467
599.875	3.3698	0.1902	0.1465
600.375	3.3733	0.1900	0.1463
600.875	3.3767	0.1898	0.1462
601.375	3.3801	0.1898	0.1461
601.875	3.3831	0.1938	0.1492
602.375	3.3861	0.1979	0.1522
602.875	3.3891	0.2019	0.1553
603.375	3.3921	0.2060	0.1584
603.875	3.3951	0.2101	0.1615
604.375	3.3981	0.2141	0.1646
604.875	3.4012	0.2162	0.1661
605.375	3.4043	0.2149	0.1651
605.875	3.4074	0.2137	0.1641
606.375	3.4105	0.2124	0.1631
606.875	3.4137	0.2111	0.1621
607.375	3.4168	0.2099	0.1610
607.875	3.4199	0.2086	0.1600
608.375	3.4232	0.2068	0.1586
608.875	3.4265	0.2051	0.1572
609.375	3.4298	0.2033	0.1558
609.875	3.4331	0.2015	0.1544
610.375	3.4364	0.1997	0.1530
610.875	3.4397	0.1980	0.1516
611.375	3.4430	0.1976	0.1513
611.875	3.4463	0.1975	0.1512
612.375	3.4497	0.1973	0.1510
612.875	3.4530	0.1972	0.1509
613.375	3.4563	0.1970	0.1507
613.875	3.4596	0.1968	0.1505
614.375	3.4630	0.1967	0.1504
614.875	3.4663	0.1965	0.1502
615.375	3.4697	0.1963	0.1500
615.875	3.4730	0.1961	0.1498
616.375	3.4764	0.1960	0.1497
616.875	3.4797	0.1958	0.1495
617.375	3.4830	0.1965	0.1500
617.875	3.4862	0.1973	0.1506
618.375	3.4895	0.1981	0.1512
618.875	3.4928	0.1989	0.1517
619.375	3.4960	0.1997	0.1523
619.875	3.4993	0.2005	0.1529
620.375	3.5027	0.1991	0.1518
620.875	3.5062	0.1971	0.1502
621.375	3.5097	0.1951	0.1486
621.875	3.5132	0.1931	0.1471
622.375	3.5166	0.1911	0.1455
622.875	3.5201	0.1892	0.1440
623.375	3.5234	0.1907	0.1451
623.875	3.5267	0.1922	0.1462
624.375	3.5301	0.1936	0.1473
624.875	3.5334	0.1951	0.1484
625.375	3.5367	0.1966	0.1494
625.875	3.5400	0.1980	0.1505
626.375	3.5432	0.1993	0.1514
626.875	3.5464	0.2005	0.1523
627.375	3.5496	0.2017	0.1532
627.875	3.5529	0.2029	0.1540
628.375	3.5561	0.2041	0.1549
628.875	3.5593	0.2053	0.1558
629.375	3.5625	0.2048	0.1554
629.875	3.5659	0.2038	0.1545
630.375	3.5692	0.2027	0.1537
630.875	3.5725	0.2017	0.1529
631.375	3.5758	0.2007	0.1521
631.875	3.5791	0.1996	0.1512
632.375	3.5825	0.1985	0.1503
632.875	3.5859	0.1973	0.1494
633.375	3.5894	0.1961	0.1484
633.875	3.5928	0.1949	0.1475
634.375	3.5963	0.1937	0.1465
634.875	3.5997	0.1925	0.1456
635.375	3.6031	0.1930	0.1460
635.875	3.6064	0.1937	0.1465
636.375	3.6098	0.1945	0.1470
636.875	3.6132	0.1952	0.1475
637.375	3.6165	0.1959	0.1480
637.875	3.6199	0.1966	0.1485
638.375	3.6231	0.1980	0.1495
638.875	3.6264	0.1995	0.1506
639.375	3.6296	0.2009	0.1516
639.875	3.6328	0.2024	0.1527
640.375	3.6360	0.2038	0.1537
640.875	3.6393	0.2053	0.1548
641.375	3.6425	0.2053	0.1547
641.875	3.6458	0.2049	0.1544
642.375	3.6491	0.2045	0.1541
642.875	3.6523	0.2042	0.1538
643.375	3.6556	0.2038	0.1534
643.875	3.6589	0.2034	0.1531
644.375	3.6622	0.2026	0.1525
644.875	3.6656	0.2017	0.1517
645.375	3.6689	0.2007	0.1510
645.875	3.6723	0.1998	0.1502
646.375	3.6757	0.1988	0.1495
646.875	3.6790	0.1979	0.1487
647.375	3.6824	0.1977	0.1486
647.875	3.6857	0.1979	0.1486
648.375	3.6891	0.1980	0.1487
648.875	3.6924	0.1982	0.1488
649.375	3.6958	0.1984	0.1489
649.875	3.6992	0.1985	0.1490
650.375	3.7025	0.1992	0.1494
650.875	3.7057	0.2000	0.1500
651.375	3.7090	0.2008	0.1506
651.875	3.7123	0.2017	0.1512
652.375	3.7156	0.2025	0.1517
652.875	3.7189	0.2033	0.1523
653.375	3.7221	0.2038	0.1526
653.875	3.7254	0.2040	0.1528
654.375	3.7286	0.2043	0.1529
654.875	3.7319	0.2046	0.1531
655.375	3.7351	0.2048	0.1533
655.875	3.7384	0.2051	0.1534
656.375	3.7417	0.2046	0.1530
656.875	3.7451	0.2035	0.1521
657.375	3.7485	0.2023	0.1512
657.875	3.7519	0.2011	0.1502
658.375	3.7552	0.1999	0.1493
658.875	3.7586	0.1987	0.1484
659.375	3.7620	0.1986	0.1482
659.875	3.7653	0.1992	0.1487
660.375	3.7686	0.1998	0.1491
660.875	3.7719	0.2004	0.1495
661.375	3.7752	0.2010	0.1499
661.875	3.7786	0.2016	0.1503
662.375	3.7820	0.2009	0.1498
662.875	3.7855	0.1992	0.1484
663.375	3.7890	0.1975	0.1471
663.875	3.7925	0.1958	0.1458
664.375	3.7960	0.1941	0.1445
664.875	3.7995	0.1924	0.1432
665.375	3.8028	0.1935	0.1440
665.875	3.8062	0.1951	0.1452
666.375	3.8095	0.1967	0.1463
666.875	3.8128	0.1984	0.1475
667.375	3.8162	0.2000	0.1487
