/* DATA DESCRIPTION:
Citation:	Lecavalier, Benoit; Fisher, David A; Milne, Glenn A; Vinther, Bo M; Tarasov, Lev; Huybrechts, Philippe; Lacelle, Denis; Main, Bill; Zheng, James; Bourgeois, Jocelyne; Dyke, Arthur (2019): Summer temperature record from the Agassiz ice cap, Greenland. PANGAEA, https://doi.org/10.1594/PANGAEA.904115, 
	In supplement to: Lecavalier, B et al. (2017): High Arctic Holocene temperature record from the Agassiz ice cap and Greenland ice sheet evolution. Proceedings of the National Academy of Sciences, 114(23), 5952-5957, https://doi.org/10.1073/pnas.1616287114
Keyword(s):	Agassiz ice cap; Canadian Arctic; Greenland ice sheet; Holocene climate; ice core; temperature reconstruction
Coverage:	LATITUDE: 80.666670 * LONGITUDE: -73.500000
	MINIMUM ELEVATION: 1730.0 m * MAXIMUM ELEVATION: 1730.0 m
Event(s):	Agassiz_IceCap * LATITUDE: 80.666670 * LONGITUDE: -73.500000 * ELEVATION: 1730.0 m * LOCATION: Ellesmere Island, Canadian Arctic Archipelago (URI: http://en.wikipedia.org/wiki/Ellesmere_island) * METHOD/DEVICE: Ice measurement (ICEM)
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Lecavalier, Benoit (b.lecavalier@mun.ca)
	Melt fraction [%] (Melt frac) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca)
	Melt fraction [%] (Melt frac) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: 2 sigma upper
	Melt fraction [%] (Melt frac) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: 2 sigma lower
	Temperature, summer [°C] (T sum) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: June-August
	Temperature, summer [°C] (T sum) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: , 2 sigma upper, June-August
	Temperature, summer [°C] (T sum) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: , 2 sigma lower, June-August
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	2730 data points
*/
Age [ka BP]	Melt frac [%]	Melt frac [%] (2 sigma upper)	Melt frac [%] (2 sigma lower)	T sum [°C] (June-August)	T sum [°C] (, 2 sigma upper, June-August)	T sum [°C] (, 2 sigma lower, June-August)
7.491	8.430	8.927370	7.932630	-7.844136253	-7.306393216	-8.378890097
7.516	10.295	10.902405	9.687595	-7.762684064	-7.214353217	-8.307364408
7.541	7.951	8.420109	7.481891	-7.858014384	-7.322990683	-8.390218741
7.566	16.823	17.815557	15.830443	-7.479076144	-6.893685123	-8.058501898
7.591	30.850	32.670150	29.029850	-6.882158729	-6.217134886	-7.536243471
7.616	27.647	29.278173	26.015827	-7.013811864	-6.366971804	-7.650848575
7.641	0.500	0.529500	0.470500	-8.157937039	-7.665213484	-8.650483299
7.666	18.982	20.101938	17.862062	-7.372639949	-6.774992047	-7.963557024
7.691	4.782	5.064138	4.499862	-7.969301229	-7.452268289	-8.484638520
7.716	13.353	14.140827	12.565173	-7.603090774	-7.037399324	-8.164047384
7.741	27.845	29.487855	26.202145	-6.986510834	-6.338546706	-7.624601404
7.766	12.051	12.762009	11.339991	-7.650574404	-7.092274552	-8.204601093
7.791	24.725	26.183775	23.266225	-7.110868594	-6.480617049	-7.732352901
7.816	9.888	10.471392	9.304608	-7.734465419	-7.188445156	-8.276979497
7.841	3.839	4.065501	3.612499	-7.986461664	-7.474782239	-8.496779818
7.866	42.573	45.084807	40.061193	-6.344808754	-5.613232150	-7.061289398
7.891	19.274	20.411166	18.136834	-7.326221249	-6.726915631	-7.918692500
7.916	13.516	14.313444	12.718556	-7.565912559	-6.999295740	-8.127736740
7.941	12.180	12.898620	11.461380	-7.618619599	-7.059587399	-8.173332893
7.966	10.750	11.384250	10.115750	-7.675301429	-7.124387497	-8.222403519
7.991	17.331	18.353529	16.308471	-7.393238124	-6.804963131	-7.975367718
8.016	26.604	28.865340	24.342660	-6.989623276	-6.317377167	-7.648278731
8.041	10.405	11.289425	9.520575	-7.658749266	-7.097541633	-8.214641505
8.066	4.333	4.701305	3.964695	-7.899655061	-7.380068863	-8.417027746
8.091	20.497	22.239245	18.754755	-7.200311596	-6.569926835	-7.820225465
8.116	22.699	24.628415	20.769585	-7.091351301	-6.445872601	-7.725234217
8.141	26.049	28.263165	23.834835	-6.933847826	-6.265406048	-7.588982472
8.166	7.370	7.996450	6.743550	-7.707840616	-7.167436845	-8.244479422
8.191	15.255	16.551675	13.958325	-7.358574666	-6.764121980	-7.945234335
8.216	8.280	8.983800	7.576200	-7.637663816	-7.091022314	-8.180075480
8.241	6.748	7.321580	6.174420	-7.686595711	-7.150455533	-8.219288673
8.266	5.773	6.263705	5.282295	-7.711974861	-7.182517967	-8.238482618
8.291	22.406	24.310510	20.501490	-6.992799731	-6.349329443	-7.624823914
8.316	4.143	4.495155	3.790845	-7.749201961	-7.230918146	-8.265369324
8.341	5.987	6.495895	5.478105	-7.655379696	-7.124455906	-8.183245027
8.366	7.842	8.508570	7.175430	-7.561092296	-7.017453131	-8.100725376
8.391	19.077	20.698545	17.455455	-7.070171596	-6.449520438	-7.681077269
8.416	19.131	20.757135	17.504865	-7.052039481	-6.431018172	-7.663287719
8.441	10.213	11.081105	9.344895	-7.413288386	-6.853396846	-7.967962615
8.466	36.705	39.824925	33.585075	-6.277225441	-5.535740513	-6.999959620
8.491	16.527	17.931795	15.122205	-7.114603446	-6.511431645	-7.709332429
8.516	1.057	1.146845	0.967155	-7.764059453	-7.266929088	-8.260649850
8.541	6.340	6.878900	5.801100	-7.542249983	-7.008906502	-8.072354675
8.566	20.381	22.113385	18.648615	-6.950108483	-6.320518862	-7.569286471
8.591	35.361	38.366685	32.355315	-6.318261368	-5.585989090	-7.032469480
8.616	14.672	15.919120	13.424880	-7.194677918	-6.604221494	-7.777639152
8.641	8.354	9.064090	7.643910	-7.463416733	-6.916267987	-8.006297839
8.666	11.890	12.900650	10.879350	-7.315479158	-6.744092370	-7.880791940
8.691	5.973	6.480705	5.465295	-7.567261688	-7.036433864	-8.095038206
8.716	41.988	45.556980	38.419020	-6.045949598	-5.268251554	-6.802198073
8.741	25.117	27.251945	22.982055	-6.760922018	-6.098868774	-7.410144243
8.766	14.984	16.257640	13.710360	-7.190978108	-6.598383033	-7.775918608
8.791	12.305	13.350925	11.259075	-7.305841808	-6.731610340	-7.873787267
8.816	23.703	25.717755	21.688245	-6.825459563	-6.173098794	-7.465711655
8.841	25.449	27.612165	23.285835	-6.753212138	-6.088883151	-7.404540505
8.866	19.754	21.433090	18.074910	-6.995607398	-6.370315642	-7.610807824
8.891	41.031	44.518635	37.543365	-6.097491638	-5.326353494	-6.847669096
8.916	14.551	15.787835	13.314165	-7.218780623	-6.629153611	-7.800974257
8.941	22.168	24.052280	20.283720	-6.898277963	-6.256439082	-7.528792322
8.966	81.145	88.042325	74.247675	-4.406017703	-3.359912129	-5.410670354
8.991	13.699	14.863415	12.534585	-7.259553998	-6.675767148	-7.836342715
9.016	31.707	35.226477	28.187523	-6.490500028	-5.745938380	-7.213909620
9.041	20.816	23.126576	18.505424	-6.938283343	-6.281200276	-7.581479848
9.066	0.000	0.000000	0.000000	-7.805745283	-7.315860283	-8.295630283
9.091	41.516	46.124276	36.907724	-6.037498603	-5.214149203	-6.833152264
9.116	19.971	22.187781	17.754219	-6.935786308	-6.285490442	-7.572759321
9.141	20.973	23.301003	18.644997	-6.880674118	-6.222329997	-7.525026941
9.166	13.563	15.068493	12.057507	-7.181263348	-6.582437755	-7.771040928
9.191	24.756	27.503916	22.008084	-6.695224723	-6.006494828	-7.367439644
9.216	7.822	8.690242	6.953758	-7.398536293	-6.845823503	-7.946030949
9.241	9.924	11.025564	8.822436	-7.296910603	-6.727314150	-7.859886657
9.266	11.094	12.325434	9.862566	-7.234694533	-6.655700417	-7.806287731
9.291	23.615	26.236265	20.993735	-6.692501428	-6.012936261	-7.356312792
9.316	66.330	73.692630	58.967370	-4.873555033	-3.850894870	-5.851965790
9.341	62.621	69.571931	55.670069	-5.017647478	-4.024778708	-5.968741153
9.366	34.416	38.236176	30.595824	-6.197553283	-5.431232432	-6.940914876
9.391	52.555	58.388605	46.721395	-5.417803048	-4.505786303	-6.294759828
9.416	56.795	63.099245	50.490755	-5.225772028	-4.279698797	-6.133956747
9.441	21.543	23.934273	19.151727	-6.703660228	-6.040737759	-7.352211147
9.466	20.412	22.677732	18.146268	-6.738741943	-6.084903881	-7.378962956
9.491	9.451	10.500061	8.401939	-7.189485208	-6.623687981	-7.748977579
9.516	54.541	60.595051	48.486949	-5.272463935	-4.344495260	-6.164047763
9.541	44.412	49.341732	39.482268	-5.691701075	-4.845090453	-6.508684008
9.566	23.797	26.438467	21.155533	-6.554338725	-5.873311700	-7.219490534
9.591	12.881	14.310791	11.451209	-7.006854160	-6.413506521	-7.591608755
9.616	16.603	18.445933	14.760067	-6.840401765	-6.217158314	-7.452569188
9.641	36.406	40.447066	32.364934	-5.993964285	-5.211659376	-6.751982387
9.666	19.264	21.402304	17.125696	-6.709746130	-6.065129022	-7.341512031
9.691	9.805	10.893355	8.716645	-7.100652320	-6.532011697	-7.662751929
9.716	15.156	16.838316	13.473684	-6.865317660	-6.253696788	-7.466827812
9.741	15.154	16.836094	13.471906	-6.856334605	-6.244729798	-7.457830027
9.766	29.043	32.266773	25.819227	-6.259970615	-5.536806721	-6.963759633
9.791	68.736	76.365696	61.106304	-4.572484485	-3.530498873	-5.568615624
9.816	71.359	79.279849	63.438151	-4.452503305	-3.389449259	-5.467953049
9.841	44.721	49.685031	39.756969	-5.569823510	-4.720730941	-6.389082253
9.866	65.551	72.827161	58.274839	-4.679959335	-3.663556248	-5.652632694
9.891	35.813	39.788243	31.837757	-5.928363040	-5.150821220	-6.682013650
9.916	35.705	39.668255	31.741745	-5.923862195	-5.147187851	-6.676717376
9.941	26.107	29.004877	23.209123	-6.320646000	-5.621064616	-7.002811144
9.966	59.508	66.113388	52.902612	-4.899217090	-3.931352527	-5.827383271
9.991	21.920	24.353120	19.486880	-6.479558045	-5.813607440	-7.130885599
10.016	70.152	83.621184	56.682816	-4.435270854	-3.124559750	-5.665032161
10.041	44.225	52.716200	35.733800	-5.529199164	-4.521851591	-6.485514625
10.066	50.410	60.088720	40.731280	-5.265271554	-4.185555275	-6.286818725
10.091	36.243	43.201656	29.284344	-5.861928264	-4.947975518	-6.734059486
10.116	42.539	50.706488	34.371512	-5.593307019	-4.605686792	-6.531840642
10.141	49.131	58.564152	39.697848	-5.312169414	-4.247418305	-6.320227279
10.166	0.000	0.000000	0.000000	-7.387278864	-6.897393864	-7.877163864
10.191	64.531	76.920952	52.141048	-4.656190644	-3.411249063	-5.826668613
10.216	29.131	34.724152	23.537848	-6.150684759	-5.319947250	-6.947807424
10.241	31.912	38.039104	25.784896	-6.030695289	-5.167418188	-6.857148494
10.266	32.928	39.250176	26.605824	-5.985338844	-5.110173853	-6.822507557
10.291	55.146	65.734032	44.557968	-5.043455829	-3.908325129	-6.114952456
10.316	19.209	22.897128	15.520872	-6.560656989	-5.846013626	-7.253134701
10.341	42.865	51.095080	34.634920	-5.557968144	-4.566533495	-6.499940011
10.366	21.297	25.386024	17.207976	-6.467576139	-5.728501757	-7.182075486
10.391	99.584	100.000000	80.463872	-3.154815459	-2.346839899	-4.694989006
10.416	64.248	76.583616	51.912384	-4.646603334	-3.404973045	-5.814096570
10.441	59.053	70.391176	47.714824	-4.863879024	-3.683033768	-5.976581842
10.466	9.934	11.841328	8.026672	-6.938481054	-6.332361498	-7.533137567
10.491	38.637	46.055304	31.218696	-5.722379814	-4.780415640	-6.619759980
10.516	48.783	58.149336	39.416664	-5.290807482	-4.230128209	-6.295195075
10.541	25.963	30.947896	20.978104	-6.253115927	-5.459446172	-7.016826457
10.566	50.000	59.600000	40.400000	-5.234076127	-4.159157127	-6.251299127
10.591	60.711	72.367512	49.054488	-4.778526237	-3.578281253	-5.908715583
10.616	100.000	100.000000	80.800000	-3.114555617	-2.324170617	-4.659116617
10.641	90.822	100.000000	73.384176	-3.500012092	-2.321535362	-4.947774929
10.666	72.334	86.222128	58.445872	-4.279141917	-2.942899930	-5.531916255
10.691	100.000	100.000000	80.800000	-3.106649852	-2.316264852	-4.651210852
10.716	90.732	100.000000	73.311456	-3.495911977	-2.313629597	-4.942725605
10.741	99.766	100.000000	80.610928	-3.111274032	-2.310994342	-4.653367090
10.766	81.828	97.538976	66.117024	-3.867147107	-2.419818864	-5.220052384
10.791	99.195	100.000000	80.149560	-3.130148257	-2.305723832	-4.666219115
10.816	90.424	100.000000	73.062592	-3.498394737	-2.303088577	-4.941959963
10.841	63.090	75.203280	50.976720	-4.651577672	-3.423496771	-5.806857760
10.866	52.531	62.616952	42.445048	-5.095429732	-3.990896311	-6.139346581
10.891	83.613	99.666696	67.559304	-3.778492107	-2.310278150	-5.150223351
10.916	73.072	87.101824	59.042176	-4.221583037	-2.876705948	-5.482140884
10.941	62.998	75.093616	50.902384	-4.644926872	-3.417922433	-5.799236658
10.966	7.291	8.690872	5.891128	-6.997862112	-6.422667454	-7.564643539
10.991	51.617	61.527464	41.706536	-5.120901947	-4.027062947	-6.155179058
11.016	30.939	36.879288	24.998712	-5.972705938	-5.120813599	-6.788897145
11.041	25.889	30.859688	20.918312	-6.152469333	-5.359665428	-6.915399402
11.066	34.029	40.562568	27.495432	-5.774493578	-4.886446138	-6.623274274
11.091	53.408	63.662336	43.153664	-4.921276708	-3.806481790	-5.974443066
11.116	50.000	59.600000	40.400000	-5.031608133	-3.956689133	-6.048831133
11.141	51.717	61.646664	41.787336	-4.925228933	-3.830219865	-5.960560720
11.166	50.000	59.600000	40.400000	-4.964056423	-3.889137423	-5.981279423
11.191	87.021	100.000000	70.312968	-3.364847583	-2.025645568	-4.772522185
11.216	75.539	90.042488	61.035512	-3.816588098	-2.442845431	-5.103164801
11.241	50.000	59.600000	40.400000	-4.862728858	-3.787809858	-5.879951858
11.266	50.000	59.600000	40.400000	-4.828953003	-3.754034003	-5.846176003
11.291	50.000	59.600000	40.400000	-4.795177148	-3.720258148	-5.812400148
11.316	10.537	12.560104	8.513896	-6.430094248	-5.816919183	-7.031110458
11.341	44.699	53.281208	36.116792	-4.951778223	-3.938884527	-5.913092848
11.366	50.000	59.600000	40.400000	-4.693849583	-3.618930583	-5.711072583
