/* DATA DESCRIPTION:
Citation:	Lecavalier, Benoit; Fisher, David A; Milne, Glenn A; Vinther, Bo M; Tarasov, Lev; Huybrechts, Philippe; Lacelle, Denis; Main, Bill; Zheng, James; Bourgeois, Jocelyne; Dyke, Arthur (2019): Oxygen isotope ratio and reconstructed temperature record from the Agassiz ice cap, Greenland. PANGAEA, https://doi.org/10.1594/PANGAEA.904113, 
	In supplement to: Lecavalier, B et al. (2017): High Arctic Holocene temperature record from the Agassiz ice cap and Greenland ice sheet evolution. Proceedings of the National Academy of Sciences, 114(23), 5952-5957, https://doi.org/10.1073/pnas.1616287114
Keyword(s):	Agassiz ice cap; Canadian Arctic; Greenland ice sheet; Holocene climate; ice core; temperature reconstruction
Coverage:	LATITUDE: 80.666670 * LONGITUDE: -73.500000
	MINIMUM ELEVATION: 1730.0 m * MAXIMUM ELEVATION: 1730.0 m
Event(s):	Agassiz_IceCap * LATITUDE: 80.666670 * LONGITUDE: -73.500000 * ELEVATION: 1730.0 m * LOCATION: Ellesmere Island, Canadian Arctic Archipelago (URI: http://en.wikipedia.org/wiki/Ellesmere_island) * METHOD/DEVICE: Ice measurement (ICEM)
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Lecavalier, Benoit (b.lecavalier@mun.ca)
	δ18O, water [‰ SMOW] (δ18O H2O) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca)
	Temperature, air, annual mean [°C] (MAAT) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca)
	Temperature, air, annual mean [°C] (MAAT) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: 2 sigma upper
	Temperature, air, annual mean [°C] (MAAT) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: 2 sigma lower
	δ18O, water [‰ SMOW] (δ18O H2O) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: Agassiz alt cor
	δ18O, water [‰ SMOW] (δ18O H2O) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: filter
	δ18O, water [‰ SMOW] (δ18O H2O) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: upper corrected
	δ18O, water [‰ SMOW] (δ18O H2O) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: lower corrected
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	3848 data points
*/
Age [ka BP]	δ18O H2O [‰ SMOW]	MAAT [°C]	MAAT [°C] (2 sigma upper)	MAAT [°C] (2 sigma lower)	δ18O H2O [‰ SMOW] (Agassiz alt cor)	δ18O H2O [‰ SMOW] (filter)	δ18O H2O [‰ SMOW] (upper corrected)	δ18O H2O [‰ SMOW] (lower corrected)
6.200	-26.894	1.667	2.339	0.992	-27.230903	-27.069003	-27.007589	-27.502785
6.225	-27.013	1.414	2.058	0.766	-27.350994	-27.029894	-27.129519	-27.621203
6.250	-26.296	2.917	3.700	2.129	-26.635086	-26.990586	-26.415449	-26.903621
6.275	-26.415	2.664	3.418	1.903	-26.755177	-26.953177	-26.537378	-27.022039
6.300	-26.742	1.974	2.659	1.282	-27.083268	-26.919368	-26.867308	-27.348457
6.325	-26.636	2.194	2.895	1.484	-26.978360	-26.890860	-26.764237	-27.241875
6.350	-26.605	2.256	2.959	1.543	-26.948451	-26.869051	-26.736167	-27.210293
6.375	-26.200	3.103	3.883	2.313	-26.544543	-26.855143	-26.334096	-26.804711
6.400	-26.217	3.065	3.836	2.282	-26.562634	-26.849134	-26.354026	-26.821129
6.425	-26.799	1.839	2.490	1.176	-27.145725	-26.849825	-26.938955	-27.402547
6.450	-26.592	2.271	2.959	1.570	-26.939817	-26.854717	-26.734885	-27.194965
6.475	-26.403	2.665	3.386	1.930	-26.751908	-26.861208	-26.548814	-27.005382
6.500	-26.656	2.131	2.797	1.449	-27.005999	-26.867199	-26.804744	-27.257800
6.525	-26.216	3.055	3.810	2.285	-26.565018	-26.869018	-26.363289	-26.817253
6.550	-26.613	2.222	2.899	1.531	-26.961036	-26.867636	-26.758834	-27.213706
6.575	-26.917	1.585	2.202	0.953	-27.264055	-26.862455	-27.061379	-27.517159
6.600	-26.353	2.770	3.501	2.024	-26.699073	-26.852873	-26.495924	-26.952612
6.625	-26.248	2.991	3.744	2.223	-26.593092	-26.838892	-26.389469	-26.847064
6.650	-26.658	2.131	2.803	1.444	-27.002111	-26.820411	-26.798014	-27.256517
6.675	-26.525	2.410	3.111	1.697	-26.868129	-26.797329	-26.663559	-27.122970
6.700	-26.471	2.525	3.237	1.799	-26.813148	-26.769948	-26.608104	-27.068423
6.725	-26.434	2.603	3.323	1.869	-26.775166	-26.739866	-26.569649	-27.030875
6.750	-26.199	3.097	3.866	2.315	-26.539185	-26.709885	-26.333194	-26.795328
6.775	-26.695	2.056	2.727	1.373	-27.034203	-26.684303	-26.827739	-27.290781
6.800	-25.852	3.827	4.668	2.974	-26.190222	-26.666722	-25.983284	-26.447234
6.825	-26.140	3.223	4.007	2.427	-26.477240	-26.659740	-26.269829	-26.734687
6.850	-26.509	2.449	3.160	1.726	-26.845259	-26.663459	-26.637374	-27.103139
6.875	-26.390	2.699	3.436	1.951	-26.725277	-26.676577	-26.516919	-26.983592
6.900	-26.296	2.897	3.654	2.130	-26.630296	-26.696596	-26.421464	-26.889045
6.925	-26.442	2.591	3.320	1.852	-26.775314	-26.720814	-26.566009	-27.034498
6.950	-26.054	3.407	4.214	2.589	-26.386333	-26.746233	-26.176554	-26.645950
6.975	-26.627	2.204	2.898	1.500	-26.958352	-26.769052	-26.748099	-27.218403
7.000	-26.679	2.096	2.780	1.401	-27.009370	-26.786170	-26.798644	-27.269856
7.025	-26.597	2.271	2.975	1.558	-26.925225	-26.795425	-26.713354	-27.186760
7.050	-26.503	2.471	3.197	1.737	-26.829080	-26.799880	-26.616064	-27.091664
7.075	-26.396	2.699	3.449	1.941	-26.719935	-26.803635	-26.505775	-26.983567
7.100	-26.156	3.206	4.007	2.398	-26.477791	-26.810791	-26.262485	-26.742471
7.125	-26.366	2.768	3.530	2.000	-26.685646	-26.822146	-26.469195	-26.951375
7.150	-26.920	1.608	2.262	0.948	-27.237501	-26.834801	-27.019906	-27.504279
7.175	-26.357	2.794	3.563	2.019	-26.672356	-26.842756	-26.453616	-26.940182
7.200	-26.630	2.223	2.941	1.501	-26.943211	-26.841011	-26.723326	-27.212086
7.225	-27.021	1.405	2.048	0.759	-27.332066	-26.828366	-27.111037	-27.601990
7.250	-26.346	2.826	3.606	2.042	-26.654921	-26.808821	-26.432747	-26.925894
7.275	-26.372	2.775	3.552	1.993	-26.678776	-26.790376	-26.455457	-26.950798
7.300	-26.181	3.179	3.998	2.357	-26.485631	-26.781031	-26.261168	-26.758701
7.325	-26.136	3.276	4.107	2.443	-26.438487	-26.785287	-26.212878	-26.712605
7.350	-26.757	1.975	2.685	1.264	-27.057342	-26.801842	-26.830588	-27.332509
7.375	-26.642	2.220	2.956	1.484	-26.940197	-26.823997	-26.712299	-27.216413
7.400	-26.444	2.639	3.417	1.861	-26.740052	-26.842552	-26.511009	-27.017316
7.425	-26.491	2.543	3.315	1.772	-26.784907	-26.849607	-26.554719	-27.063220
7.450	-27.167	1.127	1.766	0.489	-27.458762	-26.841862	-27.227430	-27.738124
7.475	-26.735	2.037	2.766	1.310	-27.024617	-26.822317	-26.792140	-27.305028
7.500	-26.294	2.966	3.786	2.149	-26.581472	-26.798672	-26.347850	-26.862932
7.525	-25.774	4.058	4.985	3.135	-26.060912	-26.781312	-25.826088	-26.343465
7.550	-26.785	1.935	2.662	1.212	-27.071352	-26.773652	-26.835326	-27.354999
7.575	-26.305	2.942	3.768	2.121	-26.590792	-26.773592	-26.353564	-26.875533
7.600	-26.494	2.545	3.336	1.760	-26.779232	-26.772632	-26.540802	-27.065066
7.625	-26.809	1.884	2.614	1.159	-27.093672	-26.759372	-26.854040	-27.380600
7.650	-26.748	2.011	2.757	1.273	-27.032112	-26.724812	-26.791278	-27.320133
7.675	-26.640	2.238	3.008	1.476	-26.923552	-26.666152	-26.681515	-27.212667
7.700	-26.319	2.912	3.749	2.083	-26.601992	-26.588392	-26.358753	-26.892201
7.725	-25.968	3.649	4.559	2.748	-26.250432	-26.501932	-26.005991	-26.541734
7.750	-25.975	3.634	4.545	2.732	-26.256872	-26.419472	-26.011229	-26.549268
7.775	-26.101	3.369	4.258	2.491	-26.382312	-26.352012	-26.135467	-26.675802
7.800	-26.091	3.390	4.283	2.507	-26.371752	-26.305952	-26.123705	-26.666335
7.825	-25.298	5.055	6.110	4.012	-25.578192	-26.281792	-25.328943	-25.873869
7.850	-25.811	3.977	4.932	3.035	-26.090632	-26.275232	-25.840180	-26.387403
7.875	-26.483	2.566	3.389	1.756	-26.762072	-26.279472	-26.510418	-27.059936
7.900	-26.537	2.452	3.267	1.651	-26.815512	-26.289412	-26.562656	-27.114470
7.925	-25.723	4.162	5.142	3.195	-26.000952	-26.304252	-25.746894	-26.301004
7.950	-25.578	4.466	5.478	3.468	-25.855392	-26.326592	-25.600132	-26.156537
7.975	-25.825	3.947	4.913	2.997	-26.101832	-26.360432	-25.845370	-26.404071
8.000	-26.445	2.645	3.489	1.816	-26.721272	-26.408472	-26.463607	-27.024605
8.025	-26.197	3.162	4.067	2.277	-26.472550	-26.470250	-26.210253	-26.780091
8.050	-26.230	3.090	3.998	2.203	-26.504828	-26.543728	-26.237899	-26.816577
8.075	-26.219	3.110	4.031	2.214	-26.493106	-26.624306	-26.221545	-26.809063
8.100	-26.187	3.174	4.112	2.264	-26.460385	-26.704785	-26.184191	-26.780549
8.125	-26.483	2.550	3.438	1.691	-26.755663	-26.774863	-26.474837	-27.080035
8.150	-27.201	1.039	1.794	0.316	-27.472941	-26.822641	-27.187483	-27.801521
8.175	-26.777	1.926	2.777	1.110	-27.048219	-26.837819	-26.758129	-27.381007
8.200	-26.833	1.806	2.655	0.993	-27.103497	-26.815597	-26.808775	-27.440493
8.225	-26.634	2.220	3.120	1.361	-26.903775	-26.758175	-26.604421	-27.244979
8.250	-26.439	2.627	3.576	1.720	-26.708054	-26.674154	-26.404067	-27.053465
8.275	-26.163	3.204	4.218	2.234	-26.431332	-26.575132	-26.122713	-26.780951
8.300	-26.021	3.499	4.552	2.493	-26.288610	-26.472010	-25.975359	-26.642437
8.325	-26.173	3.176	4.210	2.194	-26.439888	-26.373788	-26.122005	-26.797923
8.350	-26.052	3.428	4.496	2.413	-26.318166	-26.287466	-25.995651	-26.680409
8.375	-25.965	3.607	4.703	2.567	-26.230444	-26.219244	-25.903297	-26.596895
8.400	-25.790	3.972	5.113	2.889	-26.054723	-26.174623	-25.722943	-26.425381
8.425	-25.293	5.012	6.263	3.823	-25.557001	-26.156601	-25.220589	-25.931867
8.450	-25.611	4.341	5.539	3.208	-25.874279	-26.163679	-25.533235	-26.253353
8.475	-26.143	3.221	4.323	2.186	-26.405557	-26.189757	-26.059881	-26.788839
8.500	-26.245	3.004	4.096	1.982	-26.506835	-26.226135	-26.156526	-26.894325
8.525	-26.172	3.154	4.266	2.113	-26.433305	-26.265405	-26.080345	-26.823203
8.550	-25.765	4.005	5.204	2.878	-26.025774	-26.302574	-25.670164	-26.418080
8.575	-26.194	3.101	4.220	2.056	-26.454243	-26.335443	-26.095982	-26.848958
8.600	-25.854	3.811	5.004	2.694	-26.113712	-26.362112	-25.752801	-26.510836
8.625	-26.107	3.277	4.425	2.205	-26.366182	-26.378682	-26.002619	-26.765713
8.650	-26.588	2.263	3.321	1.284	-26.846651	-26.380251	-26.480438	-27.248591
8.675	-26.325	2.812	3.928	1.776	-26.583120	-26.364020	-26.214257	-26.987469
8.700	-26.068	3.348	4.522	2.256	-26.325590	-26.331890	-25.954075	-26.732346
8.725	-26.326	2.803	3.930	1.759	-26.583059	-26.292159	-26.208894	-26.992224
8.750	-25.486	4.564	5.865	3.347	-25.742528	-26.256228	-25.365712	-26.154102
8.775	-25.712	4.085	5.347	2.910	-25.967997	-26.234097	-25.588531	-26.381979
8.800	-25.891	3.706	4.938	2.562	-26.146467	-26.230167	-25.764349	-26.562857
8.825	-25.652	4.205	5.490	3.008	-25.906936	-26.241936	-25.522168	-26.325735
8.850	-26.450	2.525	3.657	1.485	-26.704405	-26.262405	-26.316987	-27.125612
8.875	-26.368	2.694	3.848	1.633	-26.621875	-26.285175	-26.231805	-27.045490
8.900	-26.046	3.367	4.591	2.237	-26.299344	-26.307844	-25.906624	-26.725368
8.925	-25.701	4.088	5.387	2.885	-25.953813	-26.332213	-25.558442	-26.382245
8.950	-25.991	3.475	4.722	2.326	-26.243282	-26.360682	-25.845261	-26.674123
8.975	-26.018	3.415	4.662	2.267	-26.269752	-26.392552	-25.869079	-26.703001
9.000	-26.223	2.982	4.193	1.870	-26.474221	-26.421921	-26.070898	-26.909878
9.025	-26.337	2.774	3.980	1.671	-26.571031	-26.423331	-26.161380	-27.012509
9.050	-26.809	1.814	2.943	0.791	-27.025840	-26.405840	-26.609861	-27.473139
9.075	-26.357	2.795	4.032	1.668	-26.556650	-26.367650	-26.134343	-27.009770
9.100	-25.809	3.977	5.342	2.726	-25.991460	-26.313460	-25.562825	-26.450400
9.125	-25.942	3.729	5.085	2.491	-26.107270	-26.252370	-25.672307	-26.572030
9.150	-26.057	3.519	4.870	2.290	-26.205079	-26.194479	-25.763788	-26.675661
9.175	-25.952	3.771	5.160	2.507	-26.082889	-26.147289	-25.635270	-26.559291
9.200	-25.919	3.872	5.285	2.587	-26.032699	-26.114699	-25.578752	-26.514922
9.225	-25.949	3.841	5.265	2.548	-26.045508	-26.096908	-25.585233	-26.533552
9.250	-25.921	3.931	5.379	2.618	-26.000318	-26.091718	-25.533715	-26.494183
9.275	-25.806	4.204	5.692	2.854	-25.868128	-26.095028	-25.395197	-26.367813
9.300	-26.286	3.228	4.637	1.960	-26.330938	-26.102438	-25.851678	-26.836443
9.325	-26.296	3.238	4.664	1.958	-26.323747	-26.109647	-25.838160	-26.835074
9.350	-26.055	3.776	5.267	2.434	-26.065557	-26.113457	-25.573642	-26.582704
9.375	-26.082	3.751	5.254	2.400	-26.075367	-26.110767	-25.577123	-26.598335
9.400	-25.762	4.454	6.039	3.025	-25.738177	-26.097077	-25.233605	-26.266965
9.425	-26.345	3.262	4.747	1.935	-26.303986	-26.067186	-25.793087	-26.838595
9.450	-26.670	2.611	4.049	1.335	-26.611796	-26.017196	-26.094569	-27.152226
9.475	-26.358	3.297	4.816	1.946	-26.282606	-25.947506	-25.759050	-26.828856
9.500	-25.805	4.490	6.137	3.014	-25.712415	-25.864515	-25.182532	-26.264487
9.525	-25.502	5.155	6.879	3.603	-25.393245	-25.780145	-24.856814	-25.951332
9.550	-25.578	5.023	6.750	3.473	-25.453076	-25.703976	-24.910096	-26.017178
9.575	-25.819	4.545	6.242	3.029	-25.677906	-25.642306	-25.128379	-26.248024
9.600	-25.683	4.859	6.600	3.301	-25.525736	-25.595836	-24.969661	-26.101870
9.625	-25.631	4.996	6.766	3.414	-25.457566	-25.561766	-24.894943	-26.039716
9.650	-26.189	3.852	5.528	2.368	-25.999396	-25.537296	-25.430225	-26.587561
9.675	-25.532	5.260	7.085	3.630	-25.326226	-25.522826	-24.750507	-25.920407
9.700	-25.471	5.416	7.271	3.760	-25.249056	-25.522156	-24.666789	-25.849253
9.725	-25.620	5.131	6.974	3.490	-25.381886	-25.540086	-24.793072	-25.988099
9.750	-25.663	5.069	6.921	3.423	-25.408716	-25.578916	-24.813354	-26.020945
9.775	-25.935	4.525	6.341	2.920	-25.664546	-25.635046	-25.062636	-26.282790
9.800	-25.904	4.618	6.458	2.993	-25.617376	-25.696776	-25.008918	-26.241636
9.825	-25.801	4.863	6.740	3.202	-25.498207	-25.745507	-24.883200	-26.128482
9.850	-26.351	3.736	5.521	2.171	-26.032037	-25.759937	-25.410482	-26.668328
9.875	-27.318	1.733	3.343	0.348	-26.982867	-25.722567	-26.354765	-27.625174
9.900	-26.402	3.685	5.495	2.102	-26.050697	-25.628597	-25.416047	-26.699019
9.925	-25.927	4.710	6.634	3.018	-25.559527	-25.489427	-24.918329	-26.213865
9.950	-25.660	5.299	7.293	3.540	-25.276357	-25.330857	-24.628611	-25.936711
9.975	-25.008	6.696	8.839	4.792	-24.608187	-25.185087	-23.953893	-25.274557
10.000	-24.788	7.186	9.390	5.224	-24.372017	-25.078917	-23.711175	-25.044403
10.025	-24.932	6.888	9.062	4.955	-24.511184	-25.037184	-23.851014	-25.182981
10.050	-25.499	5.701	7.761	3.883	-25.073350	-25.045650	-24.413852	-25.744558
10.075	-25.449	5.811	7.879	3.983	-25.018516	-25.089816	-24.359691	-25.689136
10.100	-26.127	4.391	6.323	2.700	-25.691682	-25.151183	-25.033529	-26.361714
10.125	-25.673	5.349	7.370	3.567	-25.232849	-25.214849	-24.575367	-25.902292
10.150	-25.580	5.548	7.587	3.749	-25.135015	-25.272715	-24.478206	-25.803870
10.175	-25.758	5.178	7.181	3.416	-25.308181	-25.323281	-24.652044	-25.976448
10.200	-25.831	5.029	7.016	3.282	-25.376348	-25.368248	-24.720882	-26.044026
10.225	-25.876	4.939	6.916	3.201	-25.416514	-25.409614	-24.761721	-26.083604
10.250	-26.003	4.677	6.626	2.965	-25.538680	-25.447080	-24.884559	-26.205182
10.275	-26.054	4.574	6.512	2.873	-25.584847	-25.477647	-24.931398	-26.250760
10.300	-25.503	5.735	7.783	3.925	-25.029013	-25.496113	-24.376236	-25.694337
10.325	-26.380	3.897	5.769	2.263	-25.901179	-25.496379	-25.249074	-26.565915
10.350	-26.623	3.391	5.213	1.807	-26.139346	-25.474846	-25.487913	-26.803493
10.375	-25.893	4.929	6.895	3.198	-25.404512	-25.432112	-24.753751	-26.068071
10.400	-25.564	5.624	7.655	3.828	-25.070678	-25.374778	-24.420589	-25.733649
10.425	-26.064	4.578	6.508	2.883	-25.565845	-25.314145	-24.916428	-26.228227
10.450	-25.455	5.861	7.911	4.045	-24.952011	-25.263111	-24.303266	-25.613805
10.475	-25.543	5.680	7.712	3.883	-25.035177	-25.232877	-24.387105	-25.696383
10.500	-25.559	5.651	7.678	3.858	-25.046344	-25.230144	-24.398943	-25.706961
10.525	-25.529	5.724	7.767	3.917	-25.008632	-25.254032	-24.357301	-25.672850
10.550	-25.906	4.943	6.921	3.203	-25.377920	-25.304220	-24.722660	-26.045739
10.575	-25.862	5.045	7.042	3.289	-25.326208	-25.373608	-24.667019	-25.997628
10.600	-25.793	5.201	7.221	3.423	-25.249496	-25.452296	-24.586377	-25.924517
10.625	-26.038	4.696	6.678	2.960	-25.486784	-25.528784	-24.819736	-26.165407
10.650	-26.677	3.365	5.228	1.748	-26.118072	-25.592472	-25.447094	-26.800296
10.675	-26.329	4.106	6.049	2.412	-25.762360	-25.636460	-25.087453	-26.448185
10.700	-26.299	4.179	6.138	2.471	-25.724647	-25.659347	-25.045811	-26.414074
10.725	-26.465	3.841	5.777	2.158	-25.882935	-25.666535	-25.200170	-26.575963
10.750	-26.167	4.477	6.482	2.727	-25.577223	-25.668423	-24.890528	-26.273852
10.775	-25.851	5.151	7.229	3.330	-25.253511	-25.677311	-24.562887	-25.953742
10.800	-26.333	4.149	6.141	2.416	-25.727799	-25.703599	-25.033245	-26.431631
10.825	-26.170	4.501	6.536	2.728	-25.557087	-25.752787	-24.858604	-26.264520
10.850	-26.268	4.306	6.331	2.545	-25.647375	-25.823775	-24.944962	-26.358409
10.875	-26.516	3.795	5.781	2.076	-25.887663	-25.908763	-25.181321	-26.602298
10.900	-26.565	3.702	5.689	1.985	-25.928951	-25.995051	-25.218679	-26.647187
10.925	-26.876	3.059	4.994	1.397	-26.232239	-26.068239	-25.518037	-26.954077
10.950	-27.279	2.223	4.087	0.633	-26.627527	-26.116727	-25.909396	-27.352966
10.975	-27.207	2.385	4.273	0.773	-26.547815	-26.136015	-25.825754	-27.276855
11.000	-26.796	3.258	5.238	1.556	-26.129103	-26.129903	-25.403113	-26.861744
11.025	-26.560	3.775	5.824	2.008	-25.879934	-26.103534	-25.145170	-26.620598
11.050	-26.591	3.731	5.796	1.953	-25.897765	-26.075665	-25.154226	-26.646453
11.075	-26.659	3.609	5.683	1.827	-25.952596	-26.056696	-25.200283	-26.709307
11.100	-26.672	3.603	5.696	1.807	-25.952427	-26.051527	-25.191340	-26.717161
11.125	-26.684	3.598	5.712	1.787	-25.951258	-26.059258	-25.181396	-26.724016
11.150	-26.948	3.065	5.148	1.290	-26.202089	-26.075189	-25.423453	-26.982870
11.175	-26.917	3.151	5.262	1.352	-26.157921	-26.093821	-25.370510	-26.946724
11.200	-26.987	3.025	5.144	1.223	-26.214752	-26.112052	-25.418566	-27.011579
11.225	-26.896	3.237	5.397	1.400	-26.110583	-26.129283	-25.305623	-26.915433
11.250	-26.814	3.430	5.629	1.559	-26.015414	-26.147414	-25.201680	-26.828287
11.275	-26.848	3.380	5.594	1.498	-26.036245	-26.169145	-25.213736	-26.857142
11.300	-27.173	2.719	4.889	0.885	-26.348076	-26.196476	-25.516793	-27.176996
11.325	-27.109	2.874	5.080	1.010	-26.270907	-26.229707	-25.430849	-27.107850
11.350	-26.787	3.571	5.864	1.626	-25.935738	-26.267038	-25.086906	-26.780705
11.375	-27.177	2.773	5.010	0.888	-26.312569	-26.304369	-25.454963	-27.165559
11.400	-27.496	2.124	4.319	0.286	-26.618400	-26.337200	-25.752019	-27.479413
11.425	-27.352	2.448	4.694	0.563	-26.461231	-26.362131	-25.586076	-27.330268
11.450	-27.348	2.477	4.746	0.575	-26.444062	-26.379462	-25.560133	-27.321122
11.475	-27.341	2.513	4.805	0.592	-26.423893	-26.395493	-25.531189	-27.308976
11.500	-27.299	2.622	4.945	0.675	-26.368724	-26.423924	-25.467246	-27.261830
11.525	-27.154	2.968	5.349	0.970	-26.200787	-26.476587	-25.288689	-27.103635
11.550	-27.199	2.915	5.315	0.904	-26.222849	-26.593449	-25.300132	-27.135439
11.575	-27.329	2.684	5.086	0.676	-26.329912	-26.813512	-25.396574	-27.252244
11.600	-27.466	2.437	4.841	0.434	-26.443974	-27.181374	-25.500017	-27.376048
11.625	-27.792	1.794	4.161	-0.166	-26.747037	-27.738136	-25.792460	-27.688852
11.650	-27.853	1.708	4.090	-0.263	-26.785099	-28.506099	-25.819903	-27.736657
11.675	-28.363	0.678	2.987	-1.213	-27.272161	-29.469661	-26.296345	-28.233461
11.700	-30.316	-3.381	-1.435	-4.904	-29.202224	-30.563924	-28.215788	-30.173265
11.725	-33.527	-10.083	-8.750	-10.986	-32.390286	-31.679786	-31.393231	-33.371070
11.750	-36.805	-16.925	-16.220	-17.195	-35.645349	-32.690449	-34.637674	-36.635874
11.775	-37.850	-19.078	-18.553	-19.162	-36.667411	-33.487811	-35.649117	-37.667678
11.800	-37.090	-17.441	-16.735	-17.699	-35.884474	-34.015174	-34.855559	-36.894483
11.825	-36.122	-15.367	-14.439	-15.841	-34.893536	-34.277836	-33.854002	-35.913287
11.850	-35.425	-13.861	-12.766	-14.497	-34.173599	-34.330599	-33.123445	-35.203091
11.875	-35.292	-13.540	-12.390	-14.225	-34.017661	-34.249661	-32.956888	-35.056896
11.900	-35.135	-13.169	-11.959	-13.908	-33.837724	-34.104624	-32.766330	-34.886700
11.925	-35.130	-13.117	-11.878	-13.880	-33.809786	-33.943186	-32.727773	-34.868504
11.950	-35.185	-13.191	-11.934	-13.965	-33.841849	-33.788949	-32.749216	-34.910309
11.975	-35.237	-13.259	-11.984	-14.045	-33.870911	-33.649311	-32.767659	-34.949113
12.000	-34.583	-11.844	-10.410	-12.783	-33.193974	-33.523574	-32.080101	-34.281918
