/* DATA DESCRIPTION:
Citation:	Lecavalier, Benoit; Fisher, David A; Milne, Glenn A; Vinther, Bo M; Tarasov, Lev; Huybrechts, Philippe; Lacelle, Denis; Main, Bill; Zheng, James; Bourgeois, Jocelyne; Dyke, Arthur (2019): Elevation history of Camp Century, Greenland. PANGAEA, https://doi.org/10.1594/PANGAEA.904114, 
	In supplement to: Lecavalier, B et al. (2017): High Arctic Holocene temperature record from the Agassiz ice cap and Greenland ice sheet evolution. Proceedings of the National Academy of Sciences, 114(23), 5952-5957, https://doi.org/10.1073/pnas.1616287114
Keyword(s):	Agassiz ice cap; Canadian Arctic; Greenland ice sheet; Holocene climate; ice core; temperature reconstruction
Coverage:	LATITUDE: 77.166000 * LONGITUDE: -61.133000
Event(s):	Camp_Century * LATITUDE: 77.166000 * LONGITUDE: -61.133000 * LOCATION: Greenland * METHOD/DEVICE: Multiple investigations (MULT)
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Lecavalier, Benoit (b.lecavalier@mun.ca)
	Surface elevation change [m] (Surf elev change) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: elevation history
	Surface elevation change [m] (Surf elev change) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: 2 sigma upper
	Surface elevation change [m] (Surf elev change) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: 2 sigma lower
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	1752 data points
*/
Age [ka BP]	Surf elev change [m] (elevation history)	Surf elev change [m] (2 sigma upper)	Surf elev change [m] (2 sigma lower)
10.64	841.023344100	1059.661469000	639.754527300
10.66	844.485250000	1063.791967000	642.765205300
10.68	847.906459800	1067.889747000	645.721286700
10.70	851.277256900	1071.950937000	648.618958500
10.72	854.603095700	1075.987424000	651.468862000
10.74	857.883278400	1079.998667000	654.270516700
10.76	861.120677900	1083.987668000	657.026810900
10.78	864.317835200	1087.956884000	659.740292300
10.80	867.489311400	1091.912297000	662.416856500
10.82	870.632200800	1095.853374000	665.056635500
10.84	873.736792500	1099.774898000	667.655649900
10.86	876.809923900	1103.683080000	670.220430200
10.88	879.854152800	1107.579480000	672.753416000
10.90	882.865121200	1111.458201000	675.250398500
10.92	885.854097400	1115.322495000	677.715585800
10.94	888.813756900	1119.164243000	680.142967200
10.96	891.738773800	1122.982057000	682.532736300
10.98	894.627853700	1126.772740000	684.883523000
11.00	897.474857100	1130.527887000	687.189302600
11.02	900.893617000	1134.241104000	689.445929900
11.04	904.268822000	1137.906892000	691.650118900
11.06	907.601651800	1141.523955000	693.802430900
11.08	910.880755600	1145.084844000	695.897861200
11.10	914.100348500	1148.581279000	697.930656100
11.12	917.256804500	1152.007285000	699.897150800
11.14	920.346698800	1155.357102000	701.793856500
11.16	923.372523400	1158.624970000	703.617258600
11.18	926.331793300	1161.803980000	705.362756700
11.20	929.212556300	1164.888011000	707.026420700
11.22	932.004297100	1167.864053000	708.598007300
11.24	934.713072400	1170.736610000	710.083104100
11.26	937.331115700	1173.495749000	711.474124800
11.28	939.858214300	1176.132576000	712.764343900
11.30	942.299493500	1178.645670000	713.953738900
11.32	944.641373000	1181.031537000	715.040317400
11.34	946.883548700	1183.288516000	716.023659800
11.36	949.026988100	1185.416416000	716.904589900
11.38	951.069445300	1187.411874000	717.680900900
11.40	953.022401200	1189.277698000	718.355959200
11.42	954.890369000	1191.007044000	718.924281200
11.44	956.651556700	1192.595254000	719.382273300
11.46	958.313451600	1194.049556000	719.737042900
11.48	959.872596600	1195.365808000	719.985289400
11.50	961.332650700	1196.547452000	720.130515500
11.52	963.762063100	1197.595540000	720.173974400
11.54	966.122173400	1198.509767000	720.115612600
11.56	968.386356400	1199.292085000	719.957354900
11.58	970.553717800	1199.941533000	719.698417300
11.60	972.624727600	1200.458657000	719.339319900
11.62	974.615713200	1200.860740000	718.895718500
11.64	976.536049000	1201.147387000	718.367171300
11.66	978.420212300	1201.318495000	717.753452900
11.68	980.218912500	1201.369626000	717.050359700
11.70	981.933551800	1201.302630000	716.259355800
